Line,New_Trans_Capacity,Cost_Trans_Capacity,Line_Max_Flow_MW,distance_km,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
1,4.535414699999999e-06,4.1547892e-08,4362.853663,192.8397702,DE1 0,8.585665972,49.23105928,DE1 11,8.059747295,47.88802187
2,3.106109e-06,2.074095e-08,15060.90012,140.5648017,DE1 0,8.585665972,49.23105928,DE1 12,9.580929922,48.46048444
3,8.412986999999999e-07,6.519247e-09,3566.015485,163.1217338,DE1 0,8.585665972,49.23105928,DE1 18,6.961294781,49.74481059
4,7.647908e-06,4.2834397e-08,9117.540976,117.9002226,DE1 0,8.585665972,49.23105928,DE1 7,8.614807726,50.07909121
5,377.9177,3.1716912,2377.343656,176.6681518,DE1 1,9.745630895,51.04223934,DE1 14,11.75030038,51.22456746
6,2.6641267000000003e-06,2.1870811e-08,2377.343656,172.8122916,DE1 1,9.745630895,51.04223934,DE1 15,10.35871363,52.2258987
7,914.0414999999999,7.251441,2377.343656,167.0025114,DE1 1,9.745630895,51.04223934,DE1 7,8.614807726,50.07909121
8,9.447944e-07,7.24034e-09,4754.687313,161.3192882,DE1 1,9.745630895,51.04223934,DE1 9,8.718996773,52.01133541
9,140.69058,0.74392897,2377.343656,111.3092027,DE1 10,8.442956595,53.18344976,DE1 16,7.383087925,52.70033778
10,1.2111622e-05,7.450122e-08,3971.020013,129.4868617,DE1 10,8.442956595,53.18344976,DE1 5,9.656115621,53.77222271
11,814.9653999999999,6.3714347,1593.676357,164.5745525,DE1 10,8.442956595,53.18344976,DE1 9,8.718996773,52.01133541
12,5422.9765,41.707123,4754.687313,161.8963819,DE1 11,8.059747295,47.88802187,DE1 12,9.580929922,48.46048444
13,10000.0,43.466427,3964.434574,91.49946478,DE1 11,8.059747295,47.88802187,FR1 17,7.098681163,48.02632462
14,1.5348458e-06,1.6279692e-08,2377.343656,223.2780571,DE1 12,9.580929922,48.46048444,DE1 19,10.72308407,49.88281742
15,452.41767,3.6192386,5551.525491,168.4000708,DE1 12,9.580929922,48.46048444,DE1 4,11.39973609,48.35883243
16,4.1284610000000003e-07,6.6929604e-09,2377.343656,341.267308,DE1 13,12.50484475,48.81759488,DE1 14,11.75030038,51.22456746
17,3.1154435e-06,3.2405715e-08,796.8381785,218.9607842,DE1 13,12.50484475,48.81759488,DE1 19,10.72308407,49.88281742
18,7.2890454e-06,4.153533e-08,4362.853663,119.9531437,DE1 13,12.50484475,48.81759488,DE1 4,11.39973609,48.35883243
19,4748.573,41.42493,2377.343656,183.6383195,DE1 14,11.75030038,51.22456746,DE1 15,10.35871363,52.2258987
20,6.958441999999999e-06,1.1961035e-07,3174.181835,361.8439804,DE1 14,11.75030038,51.22456746,DE1 17,12.62697015,53.77264365
21,1.448327e-05,1.4268296e-07,10698.04645,207.3815449,DE1 14,11.75030038,51.22456746,DE1 19,10.72308407,49.88281742
22,2.3815018999999997e-06,2.7091476e-08,7132.030969,239.4673588,DE1 14,11.75030038,51.22456746,DE1 3,13.55352574,52.53973418
23,1.1229259e-05,8.808436e-08,6348.36367,165.1248065,DE1 14,11.75030038,51.22456746,DE1 6,13.6417236,51.1474873
24,10000.0,105.84828,2377.343656,222.8170537,DE1 15,10.35871363,52.2258987,DE1 5,9.656115621,53.77222271
25,8.153511e-06,5.5420013e-08,796.8381785,143.0825182,DE1 15,10.35871363,52.2258987,DE1 9,8.718996773,52.01133541
26,10000.0,86.83616,7132.030969,182.7953894,DE1 16,7.383087925,52.70033778,DE1 2,7.69004145,51.39881774
27,10000.0,104.792725,0.0,220.5950437,DE1 16,7.383087925,52.70033778,DE1 8,6.782045751,51.15711695
28,9999.999000000002,70.51048,4754.687313,148.4288535,DE1 16,7.383087925,52.70033778,DE1 9,8.718996773,52.01133541
29,9258.937,82.672195,3174.181835,187.9589297,DE1 17,12.62697015,53.77264365,DE1 3,13.55352574,52.53973418
30,5969.4138,69.19819,2377.343656,244.0212724,DE1 17,12.62697015,53.77264365,DE1 5,9.656115621,53.77222271
