Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Electrolyzer_1.0,1.0,0,2.0297713020968074e-9,0.0004989856886431174,0.0004989836588718153,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_1.0,1.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,8.218373940859316e-5,8.218373940859316e-5,0,0.0,1.677575179747391e-5,1.677575179747391e-5
Liquid_storage_tank_1.0,1.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,0.331995072184409,0.331995072184409,0,0.0,0.09960062211545485,0.09960062211545485
Liquifier_w_terminal_1.0,1.0,0,2.8764875274361545e-10,0.11012839868868401,0.11012839840103526,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_1.0,1.0,0,7.34023843935414e-10,2.504893469557209e-6,2.5041594457132736e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_2.0,2.0,0,2.0297133899046526e-9,8.663486532745598,8.663486530715884,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_2.0,2.0,0,0.0,1.4239356376548915e6,1.4239356376548915e6,0,0.0,8.097601578688351e-5,8.097601578688351e-5,0,0.0,1.583687947124093e-5,1.583687947124093e-5
Liquid_storage_tank_2.0,2.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,0.00022216663098689022,0.00022216663098689022,0,0.0,2.1906085643809586e-9,2.1906085643809586e-9
Liquifier_w_terminal_2.0,2.0,0,2.8765146254341957e-10,0.020212085124426623,0.02021208483677516,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_2.0,2.0,0,7.34049989304253e-10,1.980063383807072e-6,1.979329333817768e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_3.0,3.0,0,2.0300651344214717e-9,15.131956446718936,15.131956444688871,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_3.0,3.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,0.00016798451854827134,0.00016798451854827134,0,0.0,2.8195947349367217e-5,2.8195947349367217e-5
Liquid_storage_tank_3.0,3.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,3.841454714076947,3.841454714076947,0,0.0,1.0600148644453786,1.0600148644453786
Liquifier_w_terminal_3.0,3.0,0,2.8764883739749084e-10,1.5467151925012348,1.546715192213586,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_3.0,3.0,0,7.346029412145249e-10,1.5136998016730331e-6,1.5129651987318186e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_4.0,4.0,0,2.0299908157685517e-9,1.4042863213753178e-5,1.404083322293741e-5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_4.0,4.0,0,0.0,1.4239356376548915e6,1.4239356376548915e6,0,0.0,8.493896542036089e-5,8.493896542036089e-5,0,0.0,1.594097871261164e-5,1.594097871261164e-5
Liquid_storage_tank_4.0,4.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,1.1203319507125309,1.1203319507125309,0,0.0,0.48442734492714506,0.48442734492714506
Liquifier_w_terminal_4.0,4.0,0,2.8764696948719634e-10,0.5314440176206823,0.5314440173330353,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_4.0,4.0,0,7.339711013310948e-10,2.4060846998833146e-6,2.4053507287819836e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_5.0,5.0,0,2.029711810537963e-9,5.235909108682673e-5,5.2357061375016194e-5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_5.0,5.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,8.159124975800333e-5,8.159124975800333e-5,0,0.0,1.9149024299256037e-5,1.9149024299256037e-5
Liquid_storage_tank_5.0,5.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,21.542673052328123,21.542673052328123,0,0.0,5.379332642960534,5.379332642960534
Liquifier_w_terminal_5.0,5.0,0,2.8765229425804564e-10,8.982665499433027,8.982665499145375,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_5.0,5.0,0,7.339421418936033e-10,2.8437311797216845e-6,2.842997237579791e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_6.0,6.0,0,2.0298207316055593e-9,0.00010727453428049128,0.00010727250445975968,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_6.0,6.0,0,0.0,1.4239356376548915e6,1.4239356376548915e6,0,0.0,0.00011970228542352467,0.00011970228542352467,0,0.0,1.7281782877132804e-5,1.7281782877132804e-5
Liquid_storage_tank_6.0,6.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,0.00022473109609804154,0.00022473109609804154,0,0.0,2.2119747982008214e-9,2.2119747982008214e-9
Liquifier_w_terminal_6.0,6.0,0,2.8778408268038064e-10,5.088555100928258e-7,5.085677260101455e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_6.0,6.0,0,7.33911649268514e-10,3.3207438940837343e-6,3.3200099824344656e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_7.0,7.0,0,2.029718593694321e-9,17.134842857972863,17.134842855943145,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_7.0,7.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,9.842415486563426e-5,9.842415486563426e-5,0,0.0,1.8186936588579883e-5,1.8186936588579883e-5
Liquid_storage_tank_7.0,7.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,4.190562386240017,4.190562386240017,0,0.0,1.0195661660794055,1.0195661660794055
Liquifier_w_terminal_7.0,7.0,0,2.8764831887710966e-10,1.4859373790344588,1.4859373787468104,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_7.0,7.0,0,7.339925959584548e-10,2.314193012616619e-6,2.3134590200206608e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_8.0,8.0,0,2.0297793996563468e-9,0.44988181121196563,0.44988180918218623,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_8.0,8.0,0,0.0,1.4239356376548915e6,1.4239356376548915e6,0,0.0,9.163833576817258e-5,9.163833576817258e-5,0,0.0,1.8156373318849145e-5,1.8156373318849145e-5
Liquid_storage_tank_8.0,8.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,8.016622165673155,8.016622165673155,0,0.0,2.501217901951477,2.501217901951477
Liquifier_w_terminal_8.0,8.0,0,2.8765112394528276e-10,3.571942848554275,3.5719428482666236,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_8.0,8.0,0,7.341176850205496e-10,1.8533667503567012e-6,1.8526326326716807e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_9.0,9.0,0,2.0297855432549916e-9,72.66754569777973,72.66754569574995,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_9.0,9.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,8.626790624704212e-5,8.626790624704212e-5,0,0.0,1.8011641123261597e-5,1.8011641123261597e-5
Liquid_storage_tank_9.0,9.0,0,0.0,1.4239356376548917e6,1.4239356376548917e6,0,0.0,1.9882380243870321,1.9882380243870321,0,0.0,0.398601873088834,0.398601873088834
