Row,x1,x2
TruckType,Liquid,Total
StartTruck,0,0
NewTruck,331.11590120431543,331.11590120431543
RetTruck,0.0,0.0
EndTruck,331.11590120431543,331.11590120431543
StartTruckEnergyZone1,0,0
NewTruckEnergyZone1,0.010034479807923246,0.010034479807923246
RetTruckEnergyZone1,0.0,0.0
EndTruckEnergyZone1,0.010034479807923246,0.010034479807923246
StartTruckEnergyZone2,0,0
NewTruckEnergyZone2,0.010185755083543281,0.010185755083543281
RetTruckEnergyZone2,0.0,0.0
EndTruckEnergyZone2,0.010185755083543281,0.010185755083543281
StartTruckEnergyZone3,0,0
NewTruckEnergyZone3,7.486824868455709,7.486824868455709
RetTruckEnergyZone3,0.0,0.0
EndTruckEnergyZone3,7.486824868455709,7.486824868455709
StartTruckEnergyZone4,0,0
NewTruckEnergyZone4,0.00624666184466459,0.00624666184466459
RetTruckEnergyZone4,0.0,0.0
EndTruckEnergyZone4,0.00624666184466459,0.00624666184466459
StartTruckEnergyZone5,0,0
NewTruckEnergyZone5,0.005141753215488484,0.005141753215488484
RetTruckEnergyZone5,0.0,0.0
EndTruckEnergyZone5,0.005141753215488484,0.005141753215488484
StartTruckEnergyZone6,0,0
NewTruckEnergyZone6,0.009006845091935414,0.009006845091935414
RetTruckEnergyZone6,0.0,0.0
EndTruckEnergyZone6,0.009006845091935414,0.009006845091935414
StartTruckEnergyZone7,0,0
NewTruckEnergyZone7,0.005522860418963371,0.005522860418963371
RetTruckEnergyZone7,0.0,0.0
EndTruckEnergyZone7,0.005522860418963371,0.005522860418963371
StartTruckEnergyZone8,0,0
NewTruckEnergyZone8,0.0058317646451286195,0.0058317646451286195
RetTruckEnergyZone8,0.0,0.0
EndTruckEnergyZone8,0.0058317646451286195,0.0058317646451286195
StartTruckEnergyZone9,0,0
NewTruckEnergyZone9,36.96254060899587,36.96254060899587
RetTruckEnergyZone9,0.0,0.0
EndTruckEnergyZone9,36.96254060899587,36.96254060899587
StartTruckEnergyZone10,0,0
NewTruckEnergyZone10,16.54109617516419,16.54109617516419
RetTruckEnergyZone10,0.0,0.0
EndTruckEnergyZone10,16.54109617516419,16.54109617516419
StartTruckEnergyZone11,0,0
NewTruckEnergyZone11,0.006016282627783083,0.006016282627783083
RetTruckEnergyZone11,0.0,0.0
EndTruckEnergyZone11,0.006016282627783083,0.006016282627783083
StartTruckEnergyZone12,0,0
NewTruckEnergyZone12,0.005241496344297141,0.005241496344297141
RetTruckEnergyZone12,0.0,0.0
EndTruckEnergyZone12,0.005241496344297141,0.005241496344297141
StartTruckEnergyZone13,0,0
NewTruckEnergyZone13,0.005945609703249916,0.005945609703249916
RetTruckEnergyZone13,0.0,0.0
EndTruckEnergyZone13,0.005945609703249916,0.005945609703249916
StartTruckEnergyZone14,0,0
NewTruckEnergyZone14,0.005430285584421792,0.005430285584421792
RetTruckEnergyZone14,0.0,0.0
EndTruckEnergyZone14,0.005430285584421792,0.005430285584421792
StartTruckEnergyZone15,0,0
NewTruckEnergyZone15,0.004603827125338319,0.004603827125338319
RetTruckEnergyZone15,0.0,0.0
EndTruckEnergyZone15,0.004603827125338319,0.004603827125338319
StartTruckEnergyZone16,0,0
NewTruckEnergyZone16,40.44568239602528,40.44568239602528
RetTruckEnergyZone16,0.0,0.0
EndTruckEnergyZone16,40.44568239602528,40.44568239602528
StartTruckEnergyZone17,0,0
NewTruckEnergyZone17,0.0054968693954718885,0.0054968693954718885
RetTruckEnergyZone17,0.0,0.0
EndTruckEnergyZone17,0.0054968693954718885,0.0054968693954718885
StartTruckEnergyZone18,0,0
NewTruckEnergyZone18,0.005177868575827895,0.005177868575827895
RetTruckEnergyZone18,0.0,0.0
EndTruckEnergyZone18,0.005177868575827895,0.005177868575827895
StartTruckEnergyZone19,0,0
NewTruckEnergyZone19,0.005818852746028964,0.005818852746028964
RetTruckEnergyZone19,0.0,0.0
EndTruckEnergyZone19,0.005818852746028964,0.005818852746028964
StartTruckEnergyZone20,0,0
NewTruckEnergyZone20,0.006215041849349294,0.006215041849349294
RetTruckEnergyZone20,0.0,0.0
EndTruckEnergyZone20,0.006215041849349294,0.006215041849349294
StartTruckEnergyZone21,0,0
NewTruckEnergyZone21,0.012695113342087604,0.012695113342087604
RetTruckEnergyZone21,0.0,0.0
EndTruckEnergyZone21,0.012695113342087604,0.012695113342087604
StartTruckEnergyZone22,0,0
NewTruckEnergyZone22,0.24254651586758377,0.24254651586758377
RetTruckEnergyZone22,0.0,0.0
EndTruckEnergyZone22,0.24254651586758377,0.24254651586758377
StartTruckEnergyZone23,0,0
NewTruckEnergyZone23,5.657064296436572,5.657064296436572
RetTruckEnergyZone23,0.0,0.0
EndTruckEnergyZone23,5.657064296436572,5.657064296436572
StartTruckEnergyZone24,0,0
NewTruckEnergyZone24,7.470270243533409,7.470270243533409
RetTruckEnergyZone24,0.0,0.0
EndTruckEnergyZone24,7.470270243533409,7.470270243533409
StartTruckEnergyZone25,0,0
NewTruckEnergyZone25,0.006841588780683744,0.006841588780683744
RetTruckEnergyZone25,0.0,0.0
EndTruckEnergyZone25,0.006841588780683744,0.006841588780683744
StartTruckEnergyZone26,0,0
NewTruckEnergyZone26,0.009334519093332659,0.009334519093332659
RetTruckEnergyZone26,0.0,0.0
EndTruckEnergyZone26,0.009334519093332659,0.009334519093332659
StartTruckEnergyZone27,0,0
NewTruckEnergyZone27,0.1173993631049246,0.1173993631049246
RetTruckEnergyZone27,0.0,0.0
EndTruckEnergyZone27,0.1173993631049246,0.1173993631049246
StartTruckEnergyZone28,0,0
