Time,Liquid
1,221.83250380158643
2,248.24136268394165
3,274.6500934221071
4,300.72720601816
5,325.3681303625237
6,324.64923827120595
7,295.3361220671542
8,256.39752633992174
9,218.1212057965793
10,186.11133017983735
11,157.04627696699606
12,130.9190469588428
13,106.63733775728826
14,91.7992727471622
15,91.1181300969098
16,82.97444360137075
17,69.59824113001514
18,64.96304555627216
19,72.33327906661566
20,90.09678527806943
21,116.19738040647167
22,142.6064629326131
23,169.01503086637203
24,195.42339725697113
25,46.67872998211379
26,71.11079600488165
27,96.91728774496653
28,121.91935452683379
29,141.50337283536606
30,155.00836202532815
31,144.90570814270768
32,124.1398420837103
33,140.2218206792142
34,162.1779876406011
35,182.3525761059186
36,209.87119800162142
37,242.14363955980315
38,267.32080403340353
39,274.6952343377183
40,254.07198210255712
41,223.83868535546662
42,170.21761435495125
43,136.05800759205033
44,108.96839462949694
45,83.93886205914524
46,59.159430453157995
47,34.46511146065524
48,28.01127923312879
49,206.7302785127136
50,216.08741962274348
51,226.19262635500408
52,236.7231747322271
53,241.4686759293712
54,241.5105305263226
55,239.73956421178048
56,236.9015895983993
57,235.89261635905643
58,236.71034958030884
59,237.89149027621863
60,239.41320180511946
61,240.90580175219313
62,241.7151449931386
63,240.72867979701456
64,237.9322027313261
65,234.48451984258406
66,219.83364160524832
67,206.19079873546724
68,203.15577900346227
69,200.3261228330783
70,197.5078264278358
71,196.15131921330396
72,198.96994970533467
73,208.0598531327351
74,220.15504557513793
75,230.39924863263568
76,238.68830036337226
77,246.66527451622784
78,253.99233117268324
79,258.68134254508226
80,249.4330228763127
81,226.8114933826538
82,196.25848404599347
83,166.99437925343076
84,151.6759779555903
85,153.78756603864667
86,167.10979661932876
87,159.265888155463
88,134.0504098299927
89,101.38935463139296
90,72.73083944133805
91,71.68056200850691
92,94.3555412739565
93,122.93783023342334
94,151.5182757035558
95,175.62611411433335
96,196.15201031205436
97,176.93102335853527
98,177.8400335762818
99,179.02657074880653
100,180.05212180678626
101,180.77372595069878
102,180.68727588075816
103,181.43079832780575
104,185.3650959678678
105,191.12569387148812
106,201.0956029909721
107,207.46155199833828
108,213.7520325138922
109,220.1044656791754
110,226.4147452761996
111,232.06316458094068
112,236.73335124132285
113,236.44318699571494
114,229.46326494646405
115,216.84039460335703
116,205.81272151326684
117,195.1301013811156
118,185.15291475200343
119,179.28930637053674
120,177.76218563900943
121,202.32423744359377
122,209.98128945826156
123,220.53302967273635
124,231.20737206173675
125,239.03700062998942
126,240.066398168521
127,240.37256161515987
128,242.20986162908568
129,240.77731049934562
130,242.38538852721433
131,246.40255393261572
132,251.04372508514655
133,254.1838695391442
134,254.59042950138212
135,252.46374587158303
136,249.4824341352492
137,244.68723287666992
138,229.24042129440068
139,205.58185508023055
140,197.15877607698533
141,196.19372820213448
142,195.12454425989577
143,194.32149174142452
144,200.74811055814592
145,16.967213477648784
146,17.25078400925173
147,22.034321264892867
148,32.21060921716071
149,54.13468802613926
150,85.17416697082976
151,114.70745009034891
152,138.6402514966999
153,171.0535345530373
154,201.2172385699707
155,213.97463692381558
156,236.1327912796748
157,265.0597478148455
158,297.794967736925
159,320.74442870585017
160,330.9941510899757
161,326.8990649182602
162,292.7649294576003
163,251.03684306951024
164,203.51780953729036
165,154.58624443866688
166,105.55868725091796
167,55.72712399418299
168,26.396133357084068
169,59.99701104197203
170,78.8366283375623
171,102.62865180922063
172,126.89477003998189
173,149.0167974669449
174,163.82469061278618
175,173.08111196410462
176,178.79997189670974
177,189.15952095059038
178,204.78578643951613
179,223.00602507573615
180,241.80382590130478
181,258.827058326316
182,278.8524019408791
183,298.07906037283294
184,308.65779756548494
185,264.9957763067599
186,166.64475299110512
187,68.29373016003467
188,18.881870292522876
189,19.09750183526728
190,24.258999226175717
191,30.212661752441477
192,42.38587392136998
193,36.71090160411467
194,37.994989979045044
195,39.73985862655229
196,41.458809885573714
197,43.13478844692344
198,44.5843940010127
199,44.95528491123446
200,46.626896776704086
201,55.02274989937888
202,66.77322898104791
203,79.8093819897311
204,95.5687058074353
205,112.16489354858413
206,129.81077156921373
207,143.71361769908393
208,148.96765878456108
209,140.4075585802873
210,82.01852459868266
211,23.097947604372848
212,12.695858081128335
213,13.229846288528847
214,15.737780451201445
215,22.372419072274226
216,34.62119100815602
217,102.68809002763132
218,70.00156638372619
219,49.92449833719115
220,42.112727558812765
221,39.885884254951065
222,42.03062503938918
223,38.47212618358981
224,33.570737468453444
225,42.022001976117394
226,77.81625251918567
227,117.01948688116309
228,156.22616833598462
229,195.45408968238837
230,234.61562991459476
231,273.3111821728905
232,311.64218121787354
233,327.37157353693385
234,302.7208288280588
235,258.546524298364
236,220.6257681664621
237,191.58919745513737
238,165.35015501613117
239,143.67609651953904
240,131.05037909630158
241,40.16481669298361
242,58.65282873786691
243,74.24326679139693
244,84.35424495072647
245,91.59797120901752
246,98.65845673349
247,100.66919045268699
248,103.44021346034742
249,115.44740197704985
250,138.29020806605524
251,163.23356182100136
252,190.1671360298571
253,212.21599789747287
254,226.9217791237287
255,236.10390175804991
256,240.95743635870716
257,228.58989261969603
258,161.13493156303747
259,68.5270362160042
260,29.19515230490066
261,27.11631159029662
262,24.854134367319205
263,22.574006833971623
264,25.608046673157048
265,133.08329817085547
266,148.60490480766452
267,163.81796887095445
268,176.64218890418053
269,182.39985120832083
270,176.12685583383788
271,163.225570052253
272,148.25360003059112
273,148.4590010287119
274,153.83325104989132
275,160.2162746761484
276,170.74959359351763
277,180.60226878509155
278,190.12002145789955
279,199.3289510485862
280,202.8558972949326
281,184.19106631878685
282,156.6801037749163
283,130.46699263973767
284,116.66099699610479
285,110.45379678332853
286,106.70527877905073
287,106.18662112120202
288,119.93296092946909
289,115.38741797917555
290,110.6976080313612
291,106.69645347763111
292,111.02592079837993
293,106.94037892187484
294,102.36675805495432
295,107.18621017325805
296,122.51875707054839
297,137.86903240089714
298,154.19033627114024
299,170.4318777387883
300,186.59474575315886
301,202.81771289330396
302,219.1203940966061
303,235.44167833686373
304,251.76299754203274
305,267.8219273452961
306,264.1897514211202
307,241.42166966711454
308,221.2572251445693
309,199.08250908574246
310,171.33317083647967
311,147.79908993389182
312,128.00574593213193
313,110.37897965679616
314,112.20940751201744
315,114.02022328694639
316,116.05156485319054
317,118.34523402187278
318,119.29070013784593
319,121.68593137714379
320,132.98045932307141
321,142.82868179543036
322,155.58774124664203
323,168.96303376240837
324,182.1999970518161
325,195.38546757860325
326,207.47690038652695
327,220.55208985087955
328,232.570427755786
329,240.68460469048017
330,226.86605266737155
331,187.07801298891394
332,171.24521919413522
