Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,Zone27,Zone28,Zone29,Zone30,Zone31,Zone32,Zone33,Zone34,Zone35,Zone36,Zone37,Zone38,Zone39,Zone40,Zone41,Zone42,Zone43,Zone44,Zone45,Zone46,Zone47,Zone48,Zone49,Zone50,Zone51,Zone52,Zone53,Zone54,Zone55,Zone56,Zone57,Zone58,Zone59,Zone60,Zone61,Zone62,Zone63,Zone64,Zone65,Zone66,Zone67,Zone68,Zone69,Zone70,Zone71,Zone72,Zone73,Zone74,Zone75,Zone76
cTotal,1.1539159749519952e11,8.331687291922404e9,3.0472810709553343e8,5.128955902078676e8,1.3841625487460452e8,4.885387448182364e9,1.6884719634119055e8,2.9574507091961354e8,1.1079521295188086e8,6.940527175866276e9,4.486133521430971e8,1.633678891023667e8,1.4609942890035376e8,2.7521115253810275e8,3.2063347701444536e8,8.592794635185867e9,4.7106289227872e9,1.478857103270029e8,1.6354240263378927e8,2.9958843160816306e8,5.093775897134562e9,7.668408613476172e7,1.8264476742091274e9,2.311763663518512e9,1.1746895864839196e9,1.2748198490025332e9,4.627845685832523e8,8.97332103327562e7,4.2302795797932796e9,6.733414811525531e8,3.7894716863058394e8,5.070016494686118e8,6.955918278574687e8,7.558671246351881e8,1.4802351595027368e9,1.574195713341731e8,3.1285016198491163e9,2.587716782569045e9,5.926028766977092e7,1.7244550862909775e9,1.2627340192323253e9,8.606341032219042e8,1.6084411911509912e9,2.1457608748590515e9,1.7903820579034586e9,1.4570636376234183e8,6.300701009910212e8,2.278540201618589e9,3.827106585902817e7,4.067663320703018e9,1.95326606490863e7,3.287997120913154e9,9.986240828817283e7,1.6348070905084248e9,2.3816662425288486e9,9.7307257394932e7,4.806191096426712e8,8.435785715977994e8,5.0876469778109926e8,3.9761383758219075e8,4.698480130800568e9,1.6920014203989508e9,1.0586598175433594e9,4.621370441887491e8,2.05006875044661e8,1.3250258409654546e9,1.4070317764977407e9,2.3930050260616273e8,3.901417462868768e8,6.379370884289176e8,1.7809258383784032e9,3.082289685593167e8,1.5148134948430507e9,1.2679165761038902e9,2.5952561863434124e9,7.214673803486261e8,1.507322561284968e9
cFix,9.194260846419687e10,6.647195493009465e9,1.9489583057398725e8,2.9745393055897063e8,1.384039043332025e8,3.915943219231255e9,1.6274606888580495e8,2.1988917473920184e8,9.256496452535011e7,6.314156969996657e9,3.8533584439649713e8,1.366354817584987e8,1.3524369302734166e8,1.6842056701296186e8,2.3489524343355888e8,6.892867040294462e9,3.645483198875349e9,1.216737800990793e8,1.1963940137591647e8,1.7173261999784327e8,4.113810059013761e9,7.668405467831182e7,1.5781029113551888e9,2.2115201322294736e9,1.0395319677011614e9,1.1515616520338204e9,2.4020463928337532e8,5.3812513409658834e7,3.9666810621166654e9,5.0862266366304535e8,3.4898270844320494e8,3.173386082004871e8,6.95476553813191e8,4.668580770386079e8,9.109963725305028e8,1.5661195047903702e8,2.779053778646572e9,2.0490912185992155e9,5.319272920015513e7,1.2394799109979568e9,7.762154449338856e8,8.582779323161037e8,1.111405951737064e9,1.4502168350247555e9,1.0647052987452596e9,1.2795894987069906e8,3.9881952987162614e8,1.7390957284752715e9,3.826409688414211e7,3.351399533721002e9,1.8577932264149815e7,2.767809885313201e9,9.206304188805139e7,1.4964428892514396e9,2.16982989568873e9,5.3205215180265695e7,3.170990745226501e8,4.9504994423910534e8,3.4231245599838185e8,2.6115047213858178e8,4.088567808815361e9,1.534137865786617e9,8.891417314758236e8,4.3062968009695524e8,1.106975474089402e8,1.178795572993482e9,1.3564982728449428e9,7.263632865911588e7,3.653570000508571e8,5.700076325414551e8,1.4153649313003702e9,2.4552808163705936e8,1.0860976026064594e9,1.1650774937596648e9,2.4937938675186286e9,5.688402189261447e8,1.4887467301519058e9
cVar,2.004503463506703e10,1.684482643403339e9,1.0919286562543209e8,2.1442301347732025e8,12349.447145860448,9.694412367967767e8,6.036659303697268e6,7.55062384487589e7,1.8115427440838847e7,6.263429093697373e8,6.318474181690524e7,2.6408265051487435e7,1.0762648601277418e7,1.0569028595157906e8,8.540988518001011e7,1.6999249211189983e9,1.063537600243817e9,2.6080332420363583e7,4.3428057831533045e7,1.2651301875743034e8,9.799630378998333e8,29.993114303379684,2.476725112437897e8,9.846456922137687e7,1.3433243219947112e8,1.2280569182466507e8,2.199275178292534e8,3.5484376515446834e7,2.6359851650632522e8,1.647188168007529e8,2.943607752200699e7,1.8947473399676126e8,115274.0442777,2.888377492003399e8,5.69238786282454e8,807620.855136085,3.4944784050611764e8,5.386255619632238e8,6.067558469615788e6,4.8497517460641766e8,4.865185736098988e8,2.3561709058005703e6,4.9703523799727863e8,6.953854730179194e8,7.255324351267945e8,1.7736827285523683e7,2.3125057043143195e8,5.394095943455619e8,6968.974886065668,7.162637851890266e8,954728.3849364854,5.1617492734107554e8,7.799366400121451e6,1.3823999108701542e8,2.118363452783847e8,4.370174323590956e7,1.6161767219205302e8,3.470063391403764e8,1.6605387196328408e8,1.3581776570022282e8,6.089898084506202e8,1.569829041055204e8,1.6942895784424743e8,3.1507361867505822e7,9.321034415929882e7,1.4487127562614784e8,4.986517220761049e7,1.639470626541297e8,2.4374115285282858e7,6.671615208683019e7,3.601045113314515e8,6.2109601328170866e7,4.224985450785388e8,1.0186167283509138e8,1.0040059735344048e8,1.50419966169354e8,1.856122131090912e7
cNSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cStart,5.06730703008397e7,9155.509600686133,639410.89611405,1.0186461715766637e6,1.0942561629371215,2992.154332983856,64468.151688286496,349657.7316527406,114820.98569191669,27296.499880095354,92765.92969468927,324142.29238055757,93087.27173469542,1.1002995735618044e6,328348.4008763236,2673.7724070846134,1.6081236680341556e6,131597.80756002755,474943.42633976025,1.3427928528894584e6,2800.2209667837283,1.4633355846383245,672251.6101487516,1.778962067661459e6,825186.5832870645,452505.14404766,2.652411470623651e6,436320.40765050496,1.1702884731532737,0.6887548087843829,528382.6653719316,188307.27136341692,0.0,171298.39624008775,0.689780385257823,0.0,0.6964261304798433,2.0066050092048364,0.0,0.6866030624231589,0.6885406822762822,0.0,1.4166492688601708,158566.81637553108,144324.03140413438,10586.606119045422,0.6879628814965273,34878.79775525933,0.0,1.7929895844178723,0.0,4.0123082588774883e6,0.0,124210.1699698379,1.561733698436625,400298.978756733,1.9023629279680927e6,1.5222882183174938e6,398369.8194333732,645599.743386186,922513.5345868907,880650.506813297,89128.22328786038,2.224287943479752,1.0989834764219252e6,1.3589923458245848e6,668331.4451874016,2.7171112929171086e6,410630.95073682134,1.2133038006322414e6,5.456395746581572e6,591285.594086447,6.217347158052754e6,977409.5091340747,1.0617214713432314e6,2.2071952531270646e6,14609.822152912851
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,3.3532813256347876e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
