region,Resource,zone,Cluster,R_ID,SubsidyRevenue
DE1 5,DE1 5 offwind-ac,16,0,123,0.0
DE1 5,DE1 5 offwind-dc,16,0,124,0.0
DE1 5,DE1 5 oil,16,0,125,0.0
DE1 5,DE1 5 onwind,16,0,126,0.0
DE1 5,DE1 5 ror,16,0,127,0.0
DE1 5,DE1 5 solar,16,0,128,0.0
DE1 6,DE1 6 CCGT,17,0,129,0.0
DE1 6,DE1 6 OCGT,17,0,130,0.0
DE1 6,DE1 6 lignite,17,0,131,0.0
DE1 6,DE1 6 oil,17,0,132,0.0
DE1 6,DE1 6 onwind,17,0,133,0.0
DE1 6,DE1 6 ror,17,0,134,0.0
DE1 6,DE1 6 solar,17,0,135,0.0
DE1 7,DE1 7 CCGT,18,0,136,0.0
DE1 7,DE1 7 OCGT,18,0,137,0.0
DE1 7,DE1 7 biomass,18,0,138,0.0
DE1 7,DE1 7 coal,18,0,139,0.0
DE1 7,DE1 7 oil,18,0,140,0.0
DE1 7,DE1 7 onwind,18,0,141,0.0
DE1 7,DE1 7 ror,18,0,142,0.0
DE1 7,DE1 7 solar,18,0,143,0.0
DE1 8,DE1 8 CCGT,19,0,144,0.0
DE1 8,DE1 8 OCGT,19,0,145,0.0
DE1 8,DE1 8 coal,19,0,146,0.0
DE1 8,DE1 8 lignite,19,0,147,0.0
DE1 8,DE1 8 oil,19,0,148,0.0
DE1 8,DE1 8 onwind,19,0,149,0.0
DE1 8,DE1 8 ror,19,0,150,0.0
DE1 8,DE1 8 solar,19,0,151,0.0
DE1 9,DE1 9 CCGT,20,0,152,0.0
DE1 9,DE1 9 OCGT,20,0,153,0.0
DE1 9,DE1 9 biomass,20,0,154,0.0
DE1 9,DE1 9 coal,20,0,155,0.0
DE1 9,DE1 9 nuclear,20,0,156,0.0
DE1 9,DE1 9 onwind,20,0,157,0.0
DE1 9,DE1 9 ror,20,0,158,0.0
DE1 9,DE1 9 solar,20,0,159,0.0
ES1 0,ES1 0 CCGT,21,0,160,0.0
ES1 0,ES1 0 coal,21,0,161,0.0
ES1 0,ES1 0 onwind,21,0,162,0.0
ES1 0,ES1 0 solar,21,0,163,0.0
