Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes,Pipe_length_miles,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
1,0.0,4.057513e-05,2.0086698e-06,28.697706,192.83977018343904,DE1 0,8.585665971628911,49.23105928069339,DE1 11,8.05974729506191,47.888021872066325
2,0.0,3.8837898,0.19226682,2002271.4,140.56480167516264,DE1 0,8.585665971628911,49.23105928069339,DE1 12,9.580929922241054,48.46048443999676
3,0.0,34.98103,1.7317343,20928354.0,163.12173380258994,DE1 0,8.585665971628911,49.23105928069339,DE1 18,6.961294780838478,49.74481058636263
4,0.0,7.836392e-05,3.879402e-06,33.886086,117.90022256580347,DE1 0,8.585665971628911,49.23105928069339,DE1 7,8.614807726224376,50.079091212058565
5,0.0,4.0831615e-05,2.0213672e-06,26.457298,176.6681518032778,DE1 1,9.745630895271958,51.04223934252158,DE1 14,11.750300384615384,51.22456746153846
6,0.0,4.0693885e-05,2.0145487e-06,25.792559,172.81229164524115,DE1 1,9.745630895271958,51.04223934252158,DE1 15,10.358713631896448,52.22589869741621
7,0.0,2.1507296e-05,1.0647176e-06,13.173448,167.00251144715912,DE1 1,9.745630895271958,51.04223934252158,DE1 7,8.614807726224376,50.079091212058565
8,0.0,10.619867,0.525736,6283419.0,161.31928818922682,DE1 1,9.745630895271958,51.04223934252158,DE1 9,8.718996773319988,52.01133541053488
9,0.0,0.3904823,0.019330807,159412.75,111.30920270358725,DE1 10,8.442956595095849,53.183449756764006,DE1 16,7.383087924978485,52.70033777690464
10,0.0,0.6066135,0.030030372,288090.16,129.48686174027887,DE1 10,8.442956595095849,53.183449756764006,DE1 5,9.656115621028528,53.772222705953226
11,0.0,4.486011,0.22207975,2707781.8,164.5745524589509,DE1 10,8.442956595095849,53.183449756764006,DE1 9,8.718996773319988,52.01133541053488
12,0.0,47.98246,2.3753693,28491172.0,161.896381937343,DE1 11,8.05974729506191,47.888021872066325,DE1 12,9.580929922241054,48.46048443999676
13,0.0,61.948944,3.0667794,20789454.0,91.499464775641,DE1 11,8.05974729506191,47.888021872066325,FR1 17,7.098681162538576,48.02632462435081
14,0.0,2.4686407e-05,1.2220994e-06,20.215971,223.27805713822065,DE1 12,9.580929922241054,48.46048443999676,DE1 19,10.723084073001646,49.88281742234528
15,0.0,8.11461,0.40171334,5011878.5,168.4000708436932,DE1 12,9.580929922241054,48.46048443999676,DE1 4,11.399736085399406,48.35883243095018
16,0.0,29.55695,1.4632154,36995160.0,341.2673079559072,DE1 13,12.50484475,48.817594875,DE1 14,11.750300384615384,51.22456746153846
17,0.0,1.829806e-05,9.0584456e-07,14.694744,218.9607841598671,DE1 13,12.50484475,48.817594875,DE1 19,10.723084073001646,49.88281742234528
18,0.0,1.9483956e-05,9.645522e-07,8.571945,119.95314374032289,DE1 13,12.50484475,48.817594875,DE1 4,11.399736085399406,48.35883243095018
19,0.0,110.52932,5.4717484,74444296.0,183.6383195155129,DE1 14,11.750300384615384,51.22456746153846,DE1 15,10.358713631896448,52.22589869741621
20,0.0,1.4910025e-05,7.3812004e-07,19.787474,361.8439803613993,DE1 14,11.750300384615384,51.22456746153846,DE1 17,12.626970151251394,53.77264364752804
21,0.0,0.00025933146,1.2838191e-05,197.24951,207.3815449374159,DE1 14,11.750300384615384,51.22456746153846,DE1 19,10.723084073001646,49.88281742234528
22,0.0,1.5390255e-05,7.618938e-07,13.5170765,239.4673588320574,DE1 14,11.750300384615384,51.22456746153846,DE1 3,13.553525737215796,52.53973417915259
23,0.0,16.178572,0.80091935,9798128.0,165.1248065363619,DE1 14,11.750300384615384,51.22456746153846,DE1 6,13.6417236,51.1474873
24,0.0,138.77905,6.87025,113413040.0,222.8170537351163,DE1 15,10.358713631896448,52.22589869741621,DE1 5,9.656115621028528,53.772222705953226
25,0.0,2.5430572e-05,1.2589393e-06,13.345454,143.0825181967328,DE1 15,10.358713631896448,52.22589869741621,DE1 9,8.718996773319988,52.01133541053488
26,0.0,111.06124,5.498081,74459210.0,182.79538940010605,DE1 16,7.383087924978485,52.70033777690464,DE1 2,7.690041449570495,51.398817744468026
27,0.0,29.835447,1.4770023,24138982.0,220.5950436523095,DE1 16,7.383087924978485,52.70033777690464,DE1 8,6.782045751405716,51.15711694730057
28,0.0,27.85279,1.378851,15162740.0,148.42885346805636,DE1 16,7.383087924978485,52.70033777690464,DE1 9,8.718996773319988,52.01133541053488
29,0.0,28.896654,1.4305274,19920544.0,187.95892973661057,DE1 17,12.626970151251394,53.77264364752804,DE1 3,13.553525737215796,52.53973417915259
30,0.0,55.648914,2.7548969,49805240.0,244.021272377514,DE1 17,12.626970151251394,53.77264364752804,DE1 5,9.656115621028528,53.772222705953226
31,0.0,0.008142106,0.00040307455,4632.2476,155.11878475372552,DE1 18,6.961294780838478,49.74481058636263,DE1 7,8.614807726224376,50.079091212058565
32,0.0,0.2425867,0.012009243,175224.45,196.9414297977336,DE1 18,6.961294780838478,49.74481058636263,DE1 8,6.782045751405716,51.15711694730057
33,0.0,60.213234,2.9808533,33700390.0,152.59922659092277,DE1 18,6.961294780838478,49.74481058636263,FR1 4,5.960518625870406,48.86187900010679
34,0.0,2.6637537e-05,1.3186899e-06,21.550526,220.58356912325235,DE1 19,10.723084073001646,49.88281742234528,DE1 4,11.399736085399406,48.35883243095018
35,0.0,38.66677,1.9141965,27000992.0,190.3930953423552,DE1 19,10.723084073001646,49.88281742234528,DE1 7,8.614807726224376,50.079091212058565
