Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,2.7030850941432252e-8,0.0004400046282028185,0.0004399775973518771
OCGT-H2_1.0,1.0,0,3.1939692186054084e-8,0.00011408211613925625,0.00011405017644707019
CCGT-H2_2.0,2.0,0,2.7031705147961918e-8,0.00037609009474959666,0.0003760630630444487
OCGT-H2_2.0,2.0,0,3.1953885832078e-8,0.00012180235399842061,0.00012177040011258852
CCGT-H2_3.0,3.0,0,2.7061820425211525e-8,39.02218078292907,39.02218075586725
OCGT-H2_3.0,3.0,0,3.202233601280417e-8,0.00016809705053664838,0.00016806502820063558
CCGT-H2_4.0,4.0,0,2.7019613347843872e-8,0.0004909113749942647,0.0004908843553809169
OCGT-H2_4.0,4.0,0,3.192543941821876e-8,0.00011972038957784916,0.00011968846413843095
CCGT-H2_5.0,5.0,0,2.7005809130751568e-8,0.00029237790826297863,0.0002923509024538479
OCGT-H2_5.0,5.0,0,3.190055121501856e-8,0.0001158943451755823,0.00011586244462436728
CCGT-H2_6.0,6.0,0,2.7016065405358502e-8,0.0002739138231603722,0.00027388680709496685
OCGT-H2_6.0,6.0,0,3.1950110770774254e-8,0.00011309251861331135,0.00011306056850254057
CCGT-H2_7.0,7.0,0,2.7027851576861013e-8,0.0010268637335031554,0.0010268367056515786
OCGT-H2_7.0,7.0,0,3.1969621019065464e-8,0.00013167966397478132,0.00013164769435376227
CCGT-H2_8.0,8.0,0,2.7025548431891394e-8,63.48815128380162,63.48815125677607
OCGT-H2_8.0,8.0,0,3.1952529126525924e-8,0.00014554325745506853,0.000145511304925942
CCGT-H2_9.0,9.0,0,2.707439657885541e-8,2.609369578829324,2.6093695517549276
OCGT-H2_9.0,9.0,0,3.19975111992281e-8,0.00017367042848549094,0.0001736384309742917
CCGT-H2_10.0,10.0,0,2.7035974499114697e-8,72.43599887053574,72.43599884349976
OCGT-H2_10.0,10.0,0,3.195899339161921e-8,0.0001477994223926397,0.00014776746339924807
CCGT-H2_11.0,11.0,0,2.7023531837574137e-8,0.017180379602128548,0.01718035257859671
OCGT-H2_11.0,11.0,0,3.1932279324020434e-8,0.00013281936347914707,0.00013278743119982304
CCGT-H2_12.0,12.0,0,2.702334826830381e-8,0.00037855956451868076,0.00037853254117041247
OCGT-H2_12.0,12.0,0,3.195775106333895e-8,0.00011450008505607841,0.00011446812730501507
CCGT-H2_13.0,13.0,0,2.7036455851011078e-8,43.46341738614716,43.4634173591107
