Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes,Pipe_length_miles,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
1,0.0,0.01054879,0.00052221736,7460.8774,192.83977018343904,DE1 0,8.585665971628911,49.23105928069339,DE1 11,8.05974729506191,47.888021872066325
2,0.0,1.0081577e-05,4.99088e-07,5.1975145,140.56480167516264,DE1 0,8.585665971628911,49.23105928069339,DE1 12,9.580929922241054,48.46048443999676
3,0.0,2.124601e-05,1.0517828e-06,12.711004,163.12173380258994,DE1 0,8.585665971628911,49.23105928069339,DE1 18,6.961294780838478,49.74481058636263
4,0.0,7.54452e-05,3.734911e-06,32.623974,117.90022256580347,DE1 0,8.585665971628911,49.23105928069339,DE1 7,8.614807726224376,50.079091212058565
5,0.0,3.6320747e-05,1.7980568e-06,23.534431,176.6681518032778,DE1 1,9.745630895271958,51.04223934252158,DE1 14,11.750300384615384,51.22456746153846
6,0.0,9.227938e-06,4.5682862e-07,5.8488426,172.81229164524115,DE1 1,9.745630895271958,51.04223934252158,DE1 15,10.358713631896448,52.22589869741621
7,0.0,2.9381825e-05,1.4545458e-06,17.996681,167.00251144715912,DE1 1,9.745630895271958,51.04223934252158,DE1 7,8.614807726224376,50.079091212058565
8,0.0,0.009008286,0.00044595473,5329.9004,161.31928818922682,DE1 1,9.745630895271958,51.04223934252158,DE1 9,8.718996773319988,52.01133541053488
9,0.0,1.9903727,0.0985333,812561.25,111.30920270358725,DE1 10,8.442956595095849,53.183449756764006,DE1 16,7.383087924978485,52.70033777690464
10,0.0,4.378724,0.21676853,2079524.0,129.48686174027887,DE1 10,8.442956595095849,53.183449756764006,DE1 5,9.656115621028528,53.772222705953226
11,0.0,4.6339407,0.229403,2797073.0,164.5745524589509,DE1 10,8.442956595095849,53.183449756764006,DE1 9,8.718996773319988,52.01133541053488
12,0.0,0.00010561262,5.2283476e-06,62.71098,161.896381937343,DE1 11,8.05974729506191,47.888021872066325,DE1 12,9.580929922241054,48.46048443999676
13,0.0,0.23668948,0.011717301,79430.66,91.499464775641,DE1 11,8.05974729506191,47.888021872066325,FR1 17,7.098681162538576,48.02632462435081
