Line,New_Trans_Capacity,Cost_Trans_Capacity,Line_Max_Flow_MW,distance_km,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
42,6.071912e-06,9.190866e-08,7132.030969,318.6365417,ES1 0,-5.521155106,41.91726953,ES1 5,-3.650686811,40.1106101
43,1280.5372,17.89764,9920.964594,294.2172818,ES1 0,-5.521155106,41.91726953,ES1 6,-2.896801354,42.76489618
44,8302.349,103.82995,13486.98008,263.2608363,ES1 0,-5.521155106,41.91726953,ES1 7,-7.87453434,42.66362337
45,9.642497e-06,1.6232796e-07,2377.343656,354.3793799,ES1 0,-5.521155106,41.91726953,ES1 8,-6.151081793,39.41281179
46,4.280799e-06,6.6815225e-08,10306.2128,328.5604185,ES1 1,-0.498247314,40.7899949,ES1 3,-1.068553391,38.46729399
47,1.6905049999999998e-08,1.9803391e-10,11103.05098,246.5969598,ES1 1,-0.498247314,40.7899949,ES1 4,1.532231515,41.6937861
48,2.204616e-06,3.629121e-08,1195.257268,346.5237959,ES1 1,-0.498247314,40.7899949,ES1 5,-3.650686811,40.1106101
49,7.908648e-06,1.3912724e-07,8725.707326,370.3177485,ES1 1,-0.498247314,40.7899949,ES1 6,-2.896801354,42.76489618
50,437.20527999999996,7.9199476,398.4190892,381.3304998,ES1 1,-0.498247314,40.7899949,FR1 8,-0.428850811,43.53302298
51,4.829816e-06,1.12990094e-07,1587.090917,492.4638983,ES1 2,-5.238705483,37.16218302,ES1 3,-1.068553391,38.46729399
52,1.1350568e-08,2.3972016e-10,8327.288237,444.5816711,ES1 2,-5.238705483,37.16218302,ES1 5,-3.650686811,40.1106101
53,1.4351918e-05,2.2380975e-07,7530.450059,328.2718737,ES1 2,-5.238705483,37.16218302,ES1 8,-6.151081793,39.41281179
54,1.7979978e-05,3.0714216e-07,5153.106402,359.5959991,ES1 3,-1.068553391,38.46729399,ES1 5,-3.650686811,40.1106101
55,3127.3062,37.647964,1188.671828,253.4169609,ES1 4,1.532231515,41.6937861,FR1 6,1.729674829,43.51121311
56,1.1833631999999999e-06,2.120405e-08,3566.015485,377.1945283,ES1 5,-3.650686811,40.1106101,ES1 6,-2.896801354,42.76489618
57,4.579325e-05,6.182566e-07,10704.63189,284.2051256,ES1 5,-3.650686811,40.1106101,ES1 8,-6.151081793,39.41281179
58,7402.917,95.6809,1587.090917,272.0739748,ES1 6,-2.896801354,42.76489618,FR1 8,-0.428850811,43.53302298
59,1.9149757e-06,2.409186e-08,3964.434574,264.8327307,FR1 0,2.285930386,46.41651176,FR1 11,-0.147786872,45.53878517
60,1.6068272e-06,1.5456056e-08,6746.782759,202.4856022,FR1 0,2.285930386,46.41651176,FR1 12,2.837637634,45.01155887
61,1.90462e-06,2.2360329e-08,3566.015485,247.1351089,FR1 0,2.285930386,46.41651176,FR1 15,3.785280059,47.87312765
62,2.5231306e-06,3.070538e-08,2377.343656,256.17655,FR1 0,2.285930386,46.41651176,FR1 16,4.896736931,46.04814359
63,1.0007548e-06,1.5836406e-08,2775.762746,333.1145068,FR1 0,2.285930386,46.41651176,FR1 7,2.412112342,48.81161936
64,9.79171e-07,1.8357577e-08,3566.015485,394.65852,FR1 1,6.107274788,45.52201024,FR1 15,3.785280059,47.87312765
65,2.4445739e-06,1.6055388e-08,12298.30825,138.2554535,FR1 1,6.107274788,45.52201024,FR1 16,4.896736931,46.04814359
66,3780.1352,64.761826,1188.671828,360.6420575,FR1 1,6.107274788,45.52201024,FR1 17,7.098681163,48.02632462
67,5.290774e-07,6.1037024e-09,796.8381785,242.8503591,FR1 1,6.107274788,45.52201024,FR1 5,6.28574034,43.77942318
68,10000.0,82.4684,3566.015485,173.6009816,FR1 1,6.107274788,45.52201024,IT1 5,7.804870669,45.15309588
69,6.2905463e-06,7.988428e-08,2775.762746,267.3237641,FR1 10,3.998921317,49.79126179,FR1 15,3.785280059,47.87312765
70,10000.0,82.64922,2775.762746,173.9816237,FR1 10,3.998921317,49.79126179,FR1 3,2.424028616,50.53222179
71,8230.432499999999,85.89047,2775.762746,219.6781927,FR1 10,3.998921317,49.79126179,FR1 4,5.960518626,48.861879
72,3.1213980000000002e-06,2.936617e-08,1195.257268,198.0444864,FR1 10,3.998921317,49.79126179,FR1 7,2.412112342,48.81161936
73,8831.733,124.78404,3572.600924,297.4251867,FR1 11,-0.147786872,45.53878517,FR1 2,-1.259489523,47.53739283
74,3.3064693e-06,5.3038413e-08,2775.762746,337.6685555,FR1 11,-0.147786872,45.53878517,FR1 6,1.729674829,43.51121311
75,5585.8564,74.34547,2775.762746,280.1749553,FR1 11,-0.147786872,45.53878517,FR1 8,-0.428850811,43.53302298
76,4179.7657,36.288467,2390.514535,182.7600654,FR1 12,2.837637634,45.01155887,FR1 18,3.784670783,43.88377687
77,5.619289500000001e-07,6.2971783e-09,1587.090917,235.9006767,FR1 12,2.837637634,45.01155887,FR1 6,1.729674829,43.51121311
78,10000.0,100.40602,5558.110931,211.3607619,FR1 13,-3.25128578,48.2650637,FR1 2,-1.259489523,47.53739283
79,3.0408556e-06,3.6916255e-08,11103.05098,255.5562176,FR1 14,0.590475004,48.90181715,FR1 2,-1.259489523,47.53739283
80,1.3131776e-07,1.7477608e-09,2377.343656,280.170966,FR1 14,0.590475004,48.90181715,FR1 3,2.424028616,50.53222179
81,5066.844,40.210064,10306.2128,167.0559162,FR1 14,0.590475004,48.90181715,FR1 7,2.412112342,48.81161936
82,2975.7576,38.831238,4362.853663,274.6934473,FR1 15,3.785280059,47.87312765,FR1 16,4.896736931,46.04814359
83,7.450464000000001e-06,8.613355e-08,5159.691842,243.3624974,FR1 15,3.785280059,47.87312765,FR1 4,5.960518626,48.861879
84,4.2068155e-05,3.6362317e-07,19822.17287,181.9544692,FR1 15,3.785280059,47.87312765,FR1 7,2.412112342,48.81161936
85,3302.8994,54.14519,1195.257268,345.0874465,FR1 16,4.896736931,46.04814359,FR1 17,7.098681163,48.02632462
86,1154.9699,17.561941,796.8381785,320.0858245,FR1 16,4.896736931,46.04814359,FR1 18,3.784670783,43.88377687
87,3.682916e-07,5.544069e-09,5551.525491,316.8848281,FR1 16,4.896736931,46.04814359,FR1 9,5.073192987,43.77171846
88,2.1471130000000003e-06,1.5964858e-08,7138.616409,156.5217855,FR1 17,7.098681163,48.02632462,FR1 4,5.960518626,48.861879
89,1705.1787,17.245537,4369.439103,212.8979296,FR1 18,3.784670783,43.88377687,FR1 6,1.729674829,43.51121311
90,2386.677,14.7548685,4369.439103,130.1386575,FR1 18,3.784670783,43.88377687,FR1 9,5.073192987,43.77171846
91,4947.803000000001,56.211826,7537.035498,239.1552285,FR1 3,2.424028616,50.53222179,FR1 7,2.412112342,48.81161936
92,9776.952,56.52179,6348.36367,121.6962153,FR1 5,6.28574034,43.77942318,FR1 9,5.073192987,43.77171846
93,10000.0,115.54203,398.4190892,243.2229793,FR1 5,6.28574034,43.77942318,IT1 5,7.804870669,45.15309588
94,3.7944944e-07,3.921701e-09,3174.181835,217.5630905,FR1 6,1.729674829,43.51121311,FR1 8,-0.428850811,43.53302298
95,72.63122,0.6314277,3859.067542,183.0058209,GB0 0,-1.911525561,52.46122491,GB0 1,-0.47201781,53.45202885
96,2.3861505999999997e-06,1.7286668e-08,4754.687313,152.5028842,GB0 0,-1.911525561,52.46122491,GB0 4,-2.583252,53.481137
97,717.4040699999999,6.084822,2377.343656,178.5454088,GB0 0,-1.911525561,52.46122491,GB0 6,-3.314649048,51.51069342
98,2.9313743e-06,2.3632232e-08,7132.030969,169.7063448,GB0 0,-1.911525561,52.46122491,GB0 8,-1.438350688,51.27572538
99,4.332647e-06,4.804186e-08,1481.723886,233.4162568,GB0 0,-1.911525561,52.46122491,GB0 9,-1.457966915,54.11853474
100,4441.0963,54.03988,4754.687313,256.1466924,GB0 1,-0.47201781,53.45202885,GB0 3,-0.246946057,51.61425295
101,1528.0774,20.612082,4754.687313,283.9494889,GB0 1,-0.47201781,53.45202885,GB0 7,0.657501167,51.52831217
102,6.6638113e-06,3.894734e-08,10250.23657,123.0324775,GB0 1,-0.47201781,53.45202885,GB0 9,-1.457966915,54.11853474
103,2.9533622e-05,1.7207715e-07,4754.687313,122.6510061,GB0 10,-3.893280333,53.07477867,GB0 4,-2.583252,53.481137
104,4046.0013999999996,26.156446,9509.374626,136.087215,GB0 11,-4.315338333,50.75944683,GB0 6,-3.314649048,51.51069342
105,2.7386435e-07,2.339516e-09,1481.723886,179.8270899,GB0 12,-4.583752346,56.63473439,GB0 2,-2.523868924,57.27694489
106,6105.4993,40.524544,8165.944969,139.7209647,GB0 12,-4.583752346,56.63473439,GB0 5,-3.699947108,55.75794503
107,1.4643163e-05,1.5969731e-07,2963.447771,229.5764225,GB0 2,-2.523868924,57.27694489,GB0 5,-3.699947108,55.75794503
108,4.2045403e-07,1.5787573e-09,19311.80131,79.04264239,GB0 3,-0.246946057,51.61425295,GB0 7,0.657501167,51.52831217
109,1321.3772999999999,7.1201143,9509.374626,113.4291693,GB0 3,-0.246946057,51.61425295,GB0 8,-1.438350688,51.27572538
110,2430.3192999999997,37.979263,2377.343656,328.9635606,GB0 4,-2.583252,53.481137,GB0 5,-3.699947108,55.75794503
111,6.952073600000001e-06,4.2269342e-08,6684.221084,127.989905,GB0 4,-2.583252,53.481137,GB0 9,-1.457966915,54.11853474
112,7820.1632,107.6378,3859.067542,289.7434377,GB0 5,-3.699947108,55.75794503,GB0 9,-1.457966915,54.11853474
113,6.8379346999999995e-06,5.3911872e-08,8613.754855,165.9678934,GB0 6,-3.314649048,51.51069342,GB0 8,-1.438350688,51.27572538
114,9.423643e-07,1.584465e-08,2377.343656,353.9390252,IT1 0,16.31927489,39.05643656,IT1 6,14.45419306,41.166062
115,767.4828,8.508094,1188.671828,233.3609599,IT1 0,16.31927489,39.05643656,IT1 7,17.06463909,40.63484909
116,3170.0606,43.372887,2377.343656,288.0151746,IT1 0,16.31927489,39.05643656,IT1 8,14.36385163,37.66246138
117,3716.6722,44.127125,5551.525491,249.9286247,IT1 1,9.23055636,45.29415845,IT1 10,10.77633958,43.87238188
118,10000.0,66.95375,10312.79824,140.9416994,IT1 1,9.23055636,45.29415845,IT1 5,7.804870669,45.15309588
119,9.938384999999998,0.07867333,6348.36367,166.6388704,IT1 1,9.23055636,45.29415845,IT1 9,10.87104938,45.6311042
120,4.3329997e-06,3.4613826e-08,3566.015485,168.1611022,IT1 10,10.77633958,43.87238188,IT1 11,12.06354071,44.65601435
121,1483.6116,21.33964,3964.434574,302.7830162,IT1 10,10.77633958,43.87238188,IT1 4,12.355585,42.02585706
122,1.1175161e-06,1.2986696e-08,1985.510007,244.6298909,IT1 10,10.77633958,43.87238188,IT1 9,10.87104938,45.6311042
123,1.1761212e-06,1.8058033e-08,1188.671828,323.2086393,IT1 11,12.06354071,44.65601435,IT1 2,13.57610536,42.60439245
124,3.3669807e-06,3.0389053e-08,5949.944581,189.9945578,IT1 11,12.06354071,44.65601435,IT1 3,12.8495571,45.90608157
125,24.089416,0.20481965,2775.762746,178.9822445,IT1 11,12.06354071,44.65601435,IT1 9,10.87104938,45.6311042
126,7.6474593e-07,5.4131e-09,1587.090917,149.0024821,IT1 2,13.57610536,42.60439245,IT1 4,12.355585,42.02585706
127,940.16224,9.807567,1587.090917,219.5953152,IT1 2,13.57610536,42.60439245,IT1 6,14.45419306,41.166062
128,106.999986,0.9941988,1587.090917,195.5933634,IT1 3,12.8495571,45.90608157,IT1 9,10.87104938,45.6311042
129,1614.0192,19.07023,3566.015485,248.7206645,IT1 4,12.355585,42.02585706,IT1 6,14.45419306,41.166062
130,5622.7646,75.85866,3566.015485,284.0010086,IT1 6,14.45419306,41.166062,IT1 7,17.06463909,40.63484909
131,570.88476,41.452522,400.0,376.9333562,ES4 0,2.7388916,39.6729018,ES1 1,-0.498247314,40.7899949
132,3.3076613000000003e-06,4.466907e-07,1000.0,474.460941,IT1 4,12.355585,42.02585706,IT3 0,8.7459755,39.9681955
133,2.0737558e-06,5.041959e-08,2000.0,253.4169609,FR1 6,1.729674829,43.51121311,ES1 4,1.532231515,41.6937861
134,10000.0,321.14584,2000.0,207.3873892,GB0 7,0.657501167,51.52831217,FR1 3,2.424028616,50.53222179
135,4.5481333e-07,1.5254047e-08,2501.0,243.0119798,GB0 5,-3.699947108,55.75794503,GB5 0,-6.097540943,54.66877875
136,5.1791355e-07,1.6224826e-08,250.0,243.0119798,GB0 5,-3.699947108,55.75794503,GB5 0,-6.097540943,54.66877875
137,4.2878273e-05,3.4450868e-06,0.0,473.0193716,ES1 6,-2.896801354,42.76489618,FR1 11,-0.147786872,45.53878517
