Time,Zone1-Liquid,Zone2-Liquid,Zone3-Liquid,Zone4-Liquid,Zone5-Liquid,Zone6-Liquid,Zone7-Liquid,Zone8-Liquid,Zone9-Liquid,Zone10-Liquid,Zone11-Liquid,Zone12-Liquid,Zone13-Liquid,Zone14-Liquid,Zone15-Liquid,Zone16-Liquid,Zone17-Liquid,Zone18-Liquid,Zone19-Liquid,Zone20-Liquid,Zone21-Liquid,Zone22-Liquid,Zone23-Liquid,Zone24-Liquid,Zone25-Liquid,Zone26-Liquid,Zone27-Liquid,Zone28-Liquid,Zone29-Liquid,Zone30-Liquid,Zone31-Liquid,Zone32-Liquid,Zone33-Liquid,Zone34-Liquid,Zone35-Liquid,Zone36-Liquid,Zone37-Liquid,Zone38-Liquid,Zone39-Liquid,Zone40-Liquid,Zone41-Liquid,Zone42-Liquid,Zone43-Liquid,Zone44-Liquid,Zone45-Liquid,Zone46-Liquid,Zone47-Liquid,Zone48-Liquid,Zone49-Liquid,Zone50-Liquid,Zone51-Liquid,Zone52-Liquid,Zone53-Liquid,Zone54-Liquid,Zone55-Liquid,Zone56-Liquid,Zone57-Liquid,Zone58-Liquid,Zone59-Liquid,Zone60-Liquid,Zone61-Liquid,Zone62-Liquid,Zone63-Liquid,Zone64-Liquid,Zone65-Liquid,Zone66-Liquid,Zone67-Liquid,Zone68-Liquid,Zone69-Liquid,Zone70-Liquid,Zone71-Liquid,Zone72-Liquid,Zone73-Liquid,Zone74-Liquid,Zone75-Liquid,Zone76-Liquid
1,0.00038006963034893084,0.0003990753094492445,0.00022333766829956303,0.0992050096485056,1.3253819879756488,0.00034960233635548005,0.18811038822637838,0.43354553848603705,0.0002252699551720385,0.00019961401804498676,0.22978481375049944,0.35098109917702097,0.41120804110841713,4.803741170930116,4.71627433025985,0.00022762168047425852,0.17749107903343075,5.709275121281783,3.404121415563905,0.05832516629348476,0.1574751344061072,0.00020597980567481702,0.00023356013528958418,0.0001916618777149543,4.326754610177696,6.549264295314178,0.29618095639001957,0.00025166755402171215,0.008231622223445055,1.184923392986909,0.020989169926332128,0.03281376574104954,0.00023813903925344653,0.4548180237893548,0.07379606076680546,0.0002580098354073441,0.00024178184765442676,0.0004226160548438852,1.1862862066991,0.07068070510518057,0.18731246329139756,0.00023722360575180912,0.00024475356126520863,0.00023541040507496082,0.00017857719202082662,0.25040791077837826,9.666292707746107,0.00020169748249378,0.00019398162893555823,0.6974223351011489,0.0002570107140832007,0.008016517173849906,0.00025249511998384744,0.00027739255768696324,0.02244777152600745,14.726334459939945,0.00024532495076888,0.0002545449137185468,0.06307526059662438,0.00023920751491599343,0.00025565839993894505,0.00025501849068089373,0.0003067597809945922,0.4277448657190177,6.037182264151148,0.8739442530629425,1.2502299865066362,0.06015017503844428,1.994122403634184,5.479083867482346,0.00017585033996879519,1.2423940852574475,0.8677002108380844,2.210258792813012,0.28797861967753485,0.7967760566591818
2,0.0003803938027437809,0.0003966589655925044,0.00022125214787175866,0.09920476399337587,1.3253897896741398,0.00034963978569870093,0.18811201353841991,0.43355305870329863,0.00022344041181884036,0.00019779315788848796,0.22978481905287668,0.3509797562719833,0.4112115431618228,4.803739316770012,4.716269894647241,0.00022577605354522675,0.17749933049880423,5.7092711386664705,3.4041237040094,0.05832972308816866,0.15747873106163654,0.00020439402449508117,0.0002318931206633209,0.00018997342815744477,4.326761288839013,6.549264489364073,0.2961867468962778,0.0002497509691903157,0.008232988723296397,1.184932124504957,0.02099320173673866,0.0328149038987894,0.00023637396503432812,0.45482178040091575,0.0738002052010854,0.0002563585889361963,0.00024477181944769125,0.0004216829846590024,1.1862859536208445,0.07068272819291552,0.18731758596111556,0.00023568036862548161,0.0002429789942748959,0.00023339761325230068,0.00017696295069246322,0.25041449780379604,9.666297569371586,0.0002003551376744346,0.0001926831886328857,0.6974248681596529,0.0002550312999645703,0.008019638071343042,0.00025090575963312355,0.000275624854282598,0.022452723454461598,14.72633870490029,0.0002401994320810756,0.00025253805362033963,0.0630794827151385,0.0002370254954826594,0.00025409382416115853,0.00025248800279309663,0.0003036372311881426,0.42774474657510336,6.037187729032794,0.873949894817908,1.250215545012842,0.06015464546472431,1.994115522953172,5.479074177952393,0.00017408259405756382,1.2423938512703774,0.8677032597210557,2.2102584866154933,0.28798411776014105,0.7967742542950017
3,0.0003805377983656319,0.0003976948791968711,0.0002217237250064282,0.09920679234789227,1.325389909583106,0.00034976442674737325,0.1881135797723025,0.43355200265286187,0.0002238408324160245,0.00019824446012582523,0.22978672625240623,0.35098272732423685,0.4112121700477028,4.803742446473617,4.716275586004665,0.00022618185995443193,0.17749845428571917,5.709275898161744,3.404124737080683,0.05832997194858194,0.15747987738681982,0.0002047517285294301,0.0002322031986336487,0.00019042226298198543,4.326760001661589,6.54926717208917,0.296188486845101,0.00025021090151802603,0.008233277014364158,1.1849326576157406,0.020992112747267658,0.03281590411678619,0.00023672689346299915,0.4548206463815514,0.07379952789867375,0.00025675279448477334,0.00024510718415065224,0.0004216422883048355,1.186287494597427,0.07068389850834383,0.18731709341869657,0.0002360780440520276,0.00024335484632496948,0.0002337652454215429,0.0001773690379305517,0.25041331598801564,9.66629703953503,0.00020072742762690748,0.00019298969453033281,0.6974238000940803,0.0002554115397463785,0.008019391049075099,0.0002512228456166826,0.0002760518749839533,0.02247694443137644,14.726337840762664,0.0002416796358096617,0.0002528783603796801,0.06307925053221326,0.0002374155518555439,0.0002544290491678864,0.00025315835476844576,0.0003040503101697219,0.4277480204417523,6.037189201229798,0.8739509627508673,1.2502267385901062,0.060157271035266496,1.9941230958336849,5.479085047706508,0.00017457269307090628,1.242397820011337,0.86770434696584,2.210262010198705,0.28798599254436114,0.796779673798069
4,0.00038074542436391,0.0003980747887055837,0.00022201651884535102,0.09920776267110601,1.3253911047797522,0.0003499387286010501,0.18811437652234891,0.43355260809760116,0.00022409974989271974,0.00019843584693320259,0.22978736937378566,0.35098369469236157,0.4112127398523627,4.803743522143257,4.716277387590877,0.0002264417288048433,0.17749920839957226,5.709277094059576,3.4041253035941024,0.05833058317922401,0.1574802404157585,0.00020488090124246524,0.00023243670781736953,0.00019056270655629646,4.3267536023756445,6.549266927920182,0.2961891171165302,0.00025038984111335074,0.0082332763291992,1.184933714647845,0.020987935087449304,0.032816477815023365,0.00023695171134006108,0.4548168044903659,0.07379520802233765,0.0002568869934544245,0.00024427331772824257,0.0004204985231702192,1.1862879913109095,0.07068454263536582,0.1873136044692159,0.00023634216784109284,0.000243243870809722,0.00023401148058010813,0.00017752220183560143,0.2504067869659436,9.666291738733792,0.00020092914991561112,0.00019312550404009711,0.6974261917409778,0.0002555419121816065,0.008019455784914345,0.0002513966439665617,0.0002882918236221196,0.022427296080108492,14.726336984855871,0.00023680936153357837,0.00025260493415923025,0.06307927556836106,0.0002375140129666747,0.00025472224130872065,0.0002543093070395321,0.00037874804651454383,0.42774887004128326,6.037190657612521,0.8739529084389398,1.2502291677392756,0.06015844590731283,1.9941254815190246,5.479088089152102,0.00017475106962530444,1.2423986820977788,0.8677049583538606,2.210262852006969,0.2879870003796471,0.7967814208042834
5,0.00038627570771120696,0.0004027005447083432,0.00022542482080400167,0.0992109905121158,1.3253969685018308,0.00035485213719724506,0.18811820083182762,0.43355684683970924,0.0002271021431423953,0.0002014386241610065,0.22979096921211684,0.35098748658467327,0.41121650482307787,4.803746823759356,4.716281890587964,0.00022946004623290944,0.17750365778254845,5.709280743967241,3.404128768731566,0.058334438556690606,0.15748654087872838,0.00020745051674775564,0.0002353345082351082,0.00019324967661852902,4.326781186925572,6.549281777997887,0.2961996701901588,0.00025336793043949607,0.008240348729500965,1.184948383134145,0.021004935911426163,0.032819437378199354,0.00023980858257556848,0.45483414912477893,0.0738125811562566,0.0002593168582829166,0.00024191818783893265,0.00042740111166858524,1.186290952796153,0.07068837674923201,0.18733568200751016,0.00023926933861598415,0.0002445862255357928,0.00023735876781428764,0.00018010042788796344,0.25043158789283404,9.666310869038249,0.00020356341818535866,0.0001952485113538831,0.6974306216063814,0.0002583212830425969,0.008023160734526635,0.00025395721809988106,0.08061705711304565,0.022455942149788567,14.72635442633527,0.00025018195333305137,0.00025644500854804715,0.06309773281692299,0.0002407624083833792,0.00025763923280287137,0.17663727444205343,0.002156123295047676,0.42775242914260825,6.037195539496414,0.8739569723740408,1.2502332051313614,0.0601635632057434,1.9941301672491278,5.479091529800777,0.0001775528881460295,1.2424031246191578,0.8677082212180748,2.210266412575202,0.28799274438571754,0.7967851218747424
6,0.00038005595476059715,0.0003985053034574158,0.00022331454028100774,0.0992047871519806,1.3253833741131382,0.00034961647738887937,0.18811001884531098,0.4335489863705931,0.0002252482197004738,0.00019956655639966463,0.22978468733586724,0.3509791359218707,0.4112088673201975,4.803738885292162,4.7162702046959675,0.0002275973033354075,0.17749469516969588,5.709271197167219,3.4041214251388343,0.05832631551667373,0.15749316147390705,0.00020611237707727516,0.0002336819213808086,0.00019167101190107046,4.326789585822723,6.549300428573592,0.2962148735996504,0.00025147686352662953,0.0082447253716046,1.1849572339296472,0.021005978837298135,0.03281353051707194,0.00023815494709341546,0.4548340831980109,0.07381328769233952,0.0002588551691479267,0.0002350053364466579,0.0004224465177849179,1.1862857292716091,0.07068152236075162,0.18733112201992894,0.0002366978008510996,0.00024338141753705686,0.00023540066083048306,0.00017854867476048802,0.2504393655670604,9.66631514552008,0.00020155306077604914,0.00019397260843450945,0.6974397319176222,0.0002541876298269321,0.00803489103570237,0.000252262543780731,0.08771291755534044,0.022447215987585003,14.726319591568865,0.0002488378397201806,0.0005398790532264526,0.06306169934909797,0.00023977722846153188,0.038427933158567705,0.5502386133613715,0.002183290165479383,0.42774244158642494,6.037187758192275,0.873948690264764,1.2502134117396844,0.06014989894940945,1.9941176263284421,5.479081882483182,0.00017578910882954987,1.2423907907892373,0.8677000504448059,2.2102570631328184,0.2879791739616327,0.7967744612235288
7,0.00038063122754805704,0.0003973677363537118,0.0002209342775950556,0.09920626851361582,1.32539011656536,0.0003498447076626355,0.18811343842369604,0.43355239431307685,0.00022315059623276968,0.00019753750812062253,0.22978744761595318,0.3509824092604256,0.41121220621820265,4.803742198447733,4.716273389979198,0.00022550276291949972,0.1774978556747936,5.709275061104583,3.4041250519584105,0.05833023230762972,0.15746175548878308,0.00020382814466881946,0.0002315139173654678,0.00018952520767060628,4.32672106835823,6.54921964679354,0.2961518545840638,0.0002475783540882926,0.008215786475112867,1.1848874036328907,0.020974180153356507,0.03281523464931213,0.00023604960758702716,0.4548015837020446,0.07378203267370216,0.10420669410269019,0.06407678220235524,0.0004221283004632875,1.186288560981086,0.07068463211517761,0.18729239620857083,0.00023537517709558322,0.22247806848593388,0.00023332793230492464,0.00017674215312740154,0.25038163126171303,9.666272155542705,0.0002003274962105757,0.00019248634325061227,0.6974082261585929,0.019829406555451994,0.008001818402750608,0.00025050642655385366,0.08771916098558775,0.022452343832308347,14.726341332729383,0.9366038027983042,1.258778401081952,0.06308019443133953,0.000237406428295027,0.2186646003732727,0.5502439355704529,0.002186422579019673,0.42775214366833914,6.037189648557728,0.8739529663525771,1.2502300926811538,0.06016190552789902,1.9941209222867478,5.479085887110332,0.00017394039088035242,1.2424026356825826,0.8677078813290744,2.210266125795263,0.28799072937741604,0.7967792541234944
8,0.00038073712156477194,0.00039910741274242043,0.00022199568047394228,0.09920949563115174,1.3253983838789312,0.0003499467268762244,0.18811711481873564,0.43355599254738114,0.00022409135919468413,0.00019840379616498107,0.22978765267425486,0.35098628648462343,0.41121611148726755,4.803745938399927,4.716282962098241,0.00022643960030340133,0.17750339559234332,5.709281340572354,3.4041283582825206,0.05833418218465801,0.1574756401965722,0.00020457151762149305,0.00023158504543429681,0.00019035671460025495,4.3267634954356815,6.549253355354156,0.29617909973122114,0.00024815152677849756,0.008233352081329994,1.1849269122935095,0.020993320138927865,0.03281811139619836,0.00023634839016838316,0.454822278316854,0.07380071057488831,0.3079753339157523,0.06410175651060454,0.0004221426796674974,1.1862881213604783,0.07068560133600195,0.1873185973986062,0.00023611397672077607,0.22231608751717571,0.00023365701390473664,0.00017744054714347133,0.25041573854011473,9.666297073386616,0.000201050808068951,0.000193051242934688,0.6974262489426967,0.01982865122068381,0.00801946916588523,0.0002512131927408628,0.08771852526101828,0.022451751601553604,14.72633699652687,2.3331040629611226,1.915052875685238,0.06307911573975696,0.00023836155689473636,0.2186952430155284,0.5502414857844281,0.00218544515565804,0.42775027268487453,6.037192062868124,0.873953912026784,1.2502375390375111,0.06016135200740619,1.994131571606306,5.479090044476209,0.0001747437213531459,1.2424005827441849,0.8677056714548509,2.2102595903107143,0.2879900734351463,0.7967847783022005
9,0.00038629829256247927,0.00040217983203023384,0.0002253833009765572,0.0992062095566344,1.325394584999475,0.0003548471431094818,0.18811649949086445,0.4335551198102259,0.00022707166613038696,0.0002013976766520904,0.22978622649119954,0.35098553584308384,0.4112155527197802,4.80374482477692,4.716278707665694,0.0002294307971079117,0.1775018538959116,5.709279161003273,3.404127732144288,0.05833346148699623,0.1574691835101842,0.00020713427848341185,0.00023523145774171305,0.0001929973752038919,4.326769392200635,6.549234031162618,0.29616621491090844,0.0002523658362318276,0.008221716980545793,1.184901394428997,0.020997156616226607,0.032817006813965974,0.0002394700950354135,0.4548257434766528,0.0738045356329561,0.30798617514802173,0.06410614647705186,0.0004271800536455101,1.1862873769123192,0.07068336523781565,0.18732425668776306,0.00023864209240288944,0.22232180857264994,0.00023709982066745454,0.00018002856873045563,0.25042026742973206,9.666301599473194,0.00020315492548988683,0.00019518813042544809,0.697429911747084,0.01983310445906157,0.008023474637273058,0.00025379921487361757,0.08772254705253218,0.022456748289548818,14.726341234109631,2.3331038857005777,1.9150522884448535,0.06308323593467326,0.00024177860442235502,0.21869979657417288,0.5502444772089826,0.0021895268317018556,0.4277316810863915,6.037190429520246,0.8739505188754898,1.2502301869910997,0.06016160021932473,1.9941255976381385,5.479080473016192,0.0001775307821106501,1.242389342267431,0.8676981792128513,2.210245156218662,0.2879870401701881,0.7967518914763717
10,0.00038009956182025596,0.00039920756120625616,0.00022325676772849394,0.09920792153406262,1.3253895012708956,0.0003496358822500146,0.18811214219407454,0.43355118293668776,0.00022519751532782737,0.00019951237178639344,0.2297871003229092,0.3509812596914558,0.41121129656144717,4.803740926954028,4.716274162292191,0.00022754944239902606,0.17749710249037762,5.709274752465771,3.4041238344628764,0.05832915710174667,0.15749247527776722,0.00020599367352701055,0.00023384761238701946,0.00019158637671602919,4.326755014616836,6.549294147454625,0.2962035061459647,0.00025170594422179365,0.008241956396622266,1.1849378992426218,0.020989217922766767,0.032816310294743085,0.00023773697850358174,0.4548178204290625,0.07379628075538743,0.3079742928025486,0.0640968897598855,0.0004227465853591799,1.1862881949872113,0.07068509779922526,0.18731243912468168,0.00023706596402998993,0.22231365601570657,0.0002351010140204924,0.00017846797070649543,0.250408389157851,9.666292332731427,0.00020183609130121236,0.0001938203048226698,0.6974234602813971,0.019826256169767294,0.008016400910064605,0.00025228042007179524,0.08771473555463473,0.022446810984505215,14.72633430571961,2.333098286123555,1.9150374706419901,0.06307526968050002,0.00023984575209521893,0.21869288947739796,0.5502388480753742,0.002183983395770911,0.4277502298820453,6.037189634832147,0.873955934416078,1.2502227097822698,0.060147100709036457,1.9941220407860825,5.479084650614348,0.00017576934534194294,1.2423951918469,0.8676978243336682,2.2102692717820065,0.28798615405567884,0.79681033768643
