Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,Total
Sum,-7.479577e6,1.0444624e7,-1.893569e7,-1.2007308e7,1.0717152e7,-2.8506612e6,3.3913995e6,-2.0718352e7,-2.8842858e6,2.6608602e6,6.4856425e6,5.0504696e7,-7.500597e7,6.0656015e6,2.8485362e7,-1.0719417e7,-3.1285815e6,-1.6131868e7,-4.5210864e7,-8.511143e6,1.5981824e7,-6.728905e6,6.136287e6,-8.105658e7,-2.9586098e6,1.071325e8,6.6311996e7,4.7939424e7,4.6294356e7,-2.384706e7,2.26023e7,-1.6576354e6,-6.598453e7,1.1275942e6,-3.6199524e7,6.4212508e7,5.63466e6,-4.052927e6,1.1034407e7,4.240737e6,-1.4933933e7,2.2700672e7,7.243554e7,-1.08379176e8,-2.2852818e6,-2.7272448e7,2.4218912e7,-3.1083758e6,-7.857791e6,279044.12,1.4550999e6,2.1261862e7,-7.534917e6,-8.714254e6,1.2694768e7,6.9897985e6,-1.8212676e7,1.6629921e7,-2.0463378e7,-1.0128939e7,1.4363821e7,1.2221775e7,4.007396e6,-1.1843951e7,-4.0806844e7,742598.75,-4.2538145e6,4.721998e7,3.8299595e6,-4.6444656e7,5.5460096e7,-1.1917132e6,-2.4527072e7,6.272853e6,3.9046388e6,-2.187126e6,-1.3219879e7,6.411151e7,-5.261539e7,3.2071085e6,9.241433e7,1.1147688e7,1.4689587e7,-6.0313636e7,1.3327288e7,-9.800179e6,-2.4038296e7,-4.3366416e7,-1.125742e7,6.1646425e6,5.984548e7,-7.91433e7,7.285507e7,-7.737892e6,-1.0752581e6,-2.1572318e7,-3.9381224e7,2.3406552e7,-1.344028e6,7.695896e7,5.0544236e7,-2.5435904e7,3.570729e6,3.2907062e7,2.6511198e7,1.0328251e8,2.285333e7,3.528599e7,-8.573141e7,-5.4594788e7,-1.2144191e6,5.7275496e7,9.952576e7,4.271956e6,-2.5486482e6,-9.583593e6,3.1060252e7,-1.0162621e8,2.195194e7,3.8027255e6,9.055324e6,-607780.44,3.0779235e6,-4.363233e6,-1.5123771e7,-5.374259e6,-2.861763e6,-6.038439e6,1.0360797e7,-2.2981964e7,-2.416315e6,-932840.1,-2.375309e6,3.528607e7,493421.16,166859.95,0.020247525,-0.21068665,0.047759913,0.21549664,1.4502324e7,0.16401654,0.26731122,0.13003334,2.6444426e7,1.2400791e7,1.0549654e6,3.730154e8
t1,4362.853026647439,2933.143834185914,-0.0002679881867758114,-9117.539847407174,-2258.366646276851,-2377.3432990376455,1606.7456383710085,-0.0003117261148745575,200.8445987235748,-4020.204901412841,1718.092354227328,-316.1839517022339,-183.73299779949826,-625.7153724367209,-4.537293970479828e-5,-2377.3433863720206,-568.3678018712034,-7.667837935137835e-5,-6763.146359257354,-3174.1813344476654,10698.046077220306,-7132.030216289764,-117.64863310255939,-12377.343351590553,796.8376957398214,16229.027271552628,9999.998435146286,0.0006258756254965045,9598.313774271888,-1584.337558878629,-0.00029751177959332694,-6504.401218047704,4623.561334048974,2880.393130248938,-0.00017844025965299844,7718.576447134809,3492.2548923957916,-0.00028285536134367676,2694.327476607601,3034.800152381387,-4783.145687851315,2.5380935691207527e-5,-1917.0459227431336,577.4517613780151,-2.7398513353996798e-5,5202.487364452449,-7060.895176684713,1195.2571701734007,0.00019978419188451853,-398.4190946863225,-743.2205587011445,-3.4302465898925984e-6,-3676.817213183538,2134.631048502013,-7730.1245265727275,-540.8780157072044,-0.00012271073177496617,-7655.117349240019,-7.897668506944022e-5,6169.526769396781,-3652.0169912763527,2.4384225097984332e-5,-2775.76223679212,-3566.0127571727153,-8112.962690126926,-1247.7306966547394,-5.335121479630218e-5,11994.252300715772,2775.762727826618,-8669.773602082101,-1.4176758411838223e-5,1195.2572513907778,-8882.293444471756,2775.762553629664,6913.721155522918,0.00040510696280046573,5247.129278376572,1212.5199561897837,226.80014383875002,-2377.343635434395,5875.398771362614,5247.202594718018,-5159.6918226755,-7581.663144398375,-4440.987256038334,1004.1865774881735,-2.441187083158886e-5,-4029.504711972623,5259.062426112544,-5479.110208124023,14940.176614563052,-11000.514402678247,10025.209437212672,2921.6593274174916,-1394.69171173915,-8399.885955256686,2.1251182596861087e-5,6985.1097184190285,-1481.7229797936757,14754.686799002347,10107.553888214094,-9552.583115713624,-1183.4009017403255,3731.846674778282,9202.839857069177,18165.944482449813,9236.216666075334,11830.13681890367,-10551.302110671199,-12377.343642662729,-516.1471079965332,13859.067528004578,9215.359028603007,-374.15689081828174,-2505.6224040111583,1956.276844047747,9708.383473250486,-20312.798115445945,6126.199627044563,340.45064725594744,4800.415076499263,-950.8902935004622,1455.318445346233,-60.859299939456925,-3002.581629918833,-3.44807402607624e-5,12.025255871805948,-1587.0898071544316,3785.2488058256436,3.479232876670234e-5,-670.854730712424,3.171293755208656e-5,1999.9999936979098,11826.181678472436,-34.124492679685424,-20.491692651716686,-3.142638960370572e-5,-0.00013554390990381778,2.118141283220135e-6,1.1760845480806747e-5,6818.749198479603,2.6608581292423196e-5,0.00017023196258472513,4.774757521817258e-6,8890.539349242617,-5.01478288610181e-5,-1871.5428641078665,92462.81300516722
t2,4362.853036955113,2567.61461244033,7.13666149062738e-5,-8648.953241681686,-2398.987907376037,-2377.343651504563,2534.140447875035,-0.00032329040494542756,130.69034771852984,-4020.2051128284415,1718.0923262557872,-460.6537695476169,0.00012126847203795798,-1017.5212183670359,-4.6122844541480474e-5,-2377.3436482088105,-467.22496109933013,-6.92953305504569e-5,-6793.255460560071,-3174.178316784388,10698.046442348574,-7132.025631656957,-361.8836143759581,-12256.671333025457,796.8381740551538,16899.978550559947,9999.998468951377,0.000674810784530452,9752.215715097556,-1706.8768554389071,-1731.8076577037752,-7132.029932002931,6934.22172281912,2761.503361054186,-4.088148609621181e-5,7905.213245807916,3988.1819802366454,-0.00029281787747587843,2926.178457493344,3034.800317857174,-4834.236109934527,2.4273419344468976e-5,-2524.885303067868,544.1111929424084,-2.756412154000674e-5,5377.4187355493805,-7054.1452190858145,1195.2571707783834,0.00022015109323082196,-398.4190949098963,-673.0992410188925,-3.7958024184573934e-6,-3689.634469893832,2385.3439058970616,-7730.124526528465,-156.15691427575607,-0.00011962262363534252,-7655.117349186637,-6.644442570508834e-5,6271.859276759419,-3863.3674464766623,2.3974455634931207e-5,-2775.7622379155896,-3566.0127839811694,-8540.877465519758,-1247.730696686071,-3.94085095475737e-5,12493.853936882655,2775.762726841526,-5918.812786529662,-2672.6160500192414,1195.2572504104442,-8678.295442162838,2775.762551031173,6913.7211559738025,0.00041131041179511707,5247.129281581666,755.6771145176143,295.54696060430626,-2377.3436343710478,5408.433992643192,5178.421856594496,-5159.691822641391,-7638.420093269627,-4440.987256152566,687.6010172613887,-1.9816733680118908e-5,-3712.854033339412,5031.6423710623385,-5479.110205202637,14940.176613819682,-11247.186309572156,10363.414422869866,2829.671045482632,-0.0010588861970916544,-8352.561077482324,-3.4625710425894255e-5,5674.15137523182,-1481.7225360983646,14754.68674328073,10107.553852104398,-9890.485048066843,-1180.3070934793905,2226.644350002324,9155.520816958544,18165.9444840601,9236.216665733718,8699.54407474965,-7036.075402640051,-12377.343642734808,-281.8368816920372,13859.067528122237,6960.455232540143,-379.7649123570218,-2987.202627000362,2485.0055943788375,9708.383659387118,-20306.764343307073,6348.363493230223,334.76452983113757,4800.4151882883325,-1316.6010347162257,1629.833474757002,-152.248326207248,-3002.5816301820423,-0.0019291579467262281,5.763548977259111e-5,-1587.0897377177769,3893.192233174319,4.7067938109004515e-5,-670.7062248112804,5.336371643171266e-6,1999.999993729548,10314.831064560705,-288.48500391896613,-65.40745049599244,-3.146838512278658e-5,-0.0001347070283694527,5.1664847391899806e-5,1.222992928309174e-5,6818.749197827777,8.268862847853205e-5,0.00016937720186995165,3.237998432290522e-6,7456.929948125036,-0.00036919400872561446,-2430.313057222816,86427.53582236306
t3,4362.8530293451595,2795.6114810342096,6.70565513556316e-5,-8939.365601471183,-1080.763434628894,-2377.343275283948,0.004516819542402165,-1132.1616788092995,0.00010243595499743651,-4020.2048387863697,1675.075474399005,-478.4340504335541,0.00010574713805901125,-864.0429783623575,-4.869640952376592e-5,-2377.3433218323116,-501.55192402828686,-6.317086642199239e-5,-6721.48348969534,-3174.1805826059103,10698.045937089535,-6551.135626714691,-0.00011713400071524798,-12377.343256430786,796.8371992339107,17132.030027868233,9999.999263205882,3863.186816235344,8391.990434298883,-458.94542512182994,-436.99822883220827,-7132.029922431734,5586.725558517454,2821.18293277063,-4.8131108596368006e-5,8621.40884970183,4065.128693560533,-994.0158936618748,2218.430534743525,3034.800091100056,-5718.733464099448,2.4178078916379858e-5,-2725.791347399675,531.2868777513901,-2.7542326119571586e-5,5460.734948786619,-7054.4242517371495,1195.2571709150434,0.00023101701377222525,-398.41909507530767,-735.5296871041508,-3.794008735174749e-6,-3662.065758336512,2475.2476410822965,-7730.124526534543,-97.45794758743769,-0.00011903941888976261,-7655.11734897612,-243.55639780974,6413.116947688628,-4090.975795959795,2.296177849633659e-5,-2775.7622331479524,-3566.012835731574,-9639.70220464036,-1247.730697321716,-235.43786841498158,13533.405218746804,2775.762727437768,-6940.057638184848,-1571.313541890531,1195.2572510394289,-8711.22237932957,2775.7626259600106,6913.721184408557,0.00042360616535673274,5247.129279910923,893.1792855583865,3.636259179397224e-5,-2377.343635100157,5593.818007849169,5771.2818222846745,-5159.691823293732,-8375.027632211333,-4440.987256903579,359.6600159980194,-0.0001587970428291616,-3574.586100300758,4795.336362322863,-5479.110288928922,14940.176614490583,-11421.98520189263,10398.418719463622,2734.491079946269,-574.8409536941331,-8399.88586060585,-1.9453924077727e-5,6447.115205320955,-1481.7229869693074,14754.686795600594,10107.553886450782,-10265.202969683163,-1116.831880031642,1891.2575008422502,9121.014502592747,18165.94448382139,9236.21666479107,9463.466616041482,-7281.41961521425,-12377.34364266238,-40.263930033823335,13859.067528031064,6387.395215261843,-167.15697285588868,-3712.8451376248886,3004.564442841879,9708.383659397981,-20271.03197412298,6348.363491265861,282.5838256424321,4800.415189619292,-1357.84052087324,1629.8334796247234,-178.2341684452469,-3002.5816311726308,-0.001969677755159196,5.4629094654285774e-5,-1587.0897164337177,3923.639119062622,4.1762096735374476e-5,-671.1724935691277,5.30792285349361e-6,1999.9999936917113,10803.08449419331,-311.50322723299183,-67.45008280777223,-3.16138390793107e-5,-0.00013540246330851725,1.3620566338213877e-6,1.4575464435867301e-5,6818.749197289963,2.4587390107423094e-5,0.00017008662538649106,2.8266689758842043e-6,7908.529319170493,-0.00034409090860582363,-2592.7334309580206,86025.55579204361
t4,4362.852922316984,2817.8371421484894,-0.00041013280899642373,-9117.540467435761,-1465.5390143172049,-2377.3432746543112,0.00457524010944165,-585.3178184367333,0.0007169360977496363,-4020.2048695114536,1718.0923083001294,-0.0013114232508504874,-530.4221726733075,-538.2782783010653,-4.8038116082398695e-5,-2377.3434306917507,-610.8021143637001,-4.233303522353476e-5,-6663.209149445341,-3174.1813356717853,10698.04615548798,-7132.030222540949,-60.57656378826801,-12377.343355297562,796.8371870632319,17132.03002489327,9999.999259415696,5506.345344844464,9602.420034281366,-1825.997605062188,-2004.7356073216793,-7132.029935538318,7009.284946754385,2987.5316257285463,-204.29165758434974,10780.957101191903,4272.183057778552,-3327.14823494159,2569.3110190100347,3034.800133338934,-5718.7334812540685,2.423204735745569e-5,-2774.3382680099344,523.9569874143631,-2.7442540942737953e-5,5484.219562767995,-7058.457358186506,1195.2571710075092,0.0002341311361291671,-398.4190951483001,-771.7557076967474,-3.8009184701799117e-6,-3649.186212309252,2480.5969615786003,-7730.124526635581,-88.63104231370878,-0.00011889074848702755,-7655.117349162911,-491.5447859931733,6520.74715241744,-4116.475228655497,-2.8090121629932973e-5,-2775.7624641541006,-3566.0128193921582,-9295.67919658969,-1247.7306967157374,-642.625320951242,13566.01468774787,2775.762726633189,-6069.393254657225,-2433.2706611151507,1195.2572502273536,-8957.872905043449,2775.7626023692274,6913.721173571545,7.438166009650818e-5,5247.128274225893,1156.5926837157153,0.000110837774488788,-2377.3436341148363,5305.165530336989,5426.90474439201,-5159.691822609642,-8065.257065986371,-4440.987256321923,360.7532101397306,-0.0001646983005711206,-4113.195747901477,4798.209237192993,-5479.110290031508,14940.176613718255,-11893.313906575237,10398.418832122485,2735.8311719426542,-949.0121675067909,-8399.885846295942,2.4604778446414517e-5,6955.0757444479905,-1481.722994931366,14754.68681085382,10107.553899844357,-10400.481896184569,-1202.4558620988112,1933.1073683109105,9091.213630247426,18165.944483727613,9236.21666436033,8325.845381286414,-5662.584250056003,-12377.34364274679,-33.408487142159274,13859.067528106114,4215.867639058703,-8.550050913845678e-5,-3986.795408183914,3101.4099250291824,9708.383660370118,-20290.88314356399,6348.363491354762,314.79147631100443,4800.415188274224,-1331.2021546542878,1629.8334794846,-161.99744035229216,-3002.581631852,-0.0020216442657552012,5.795260575317625e-5,-1587.0897293995322,3904.075837193338,-2.9503551834046183e-5,-671.8902851507191,5.0931910660685396e-6,1999.99999378332,10337.533357753206,-344.76578372173645,-70.16194078685973,-3.1611976455677606e-5,-0.000134400388304908,3.5644885003979616e-6,1.3939754670904436e-5,6818.749196799958,2.9493607891335475e-5,0.00016906610661734375,7.637602332245514e-6,7478.404283413318,-84.31546532627398,-2503.6624066242225,83138.93972400595
t5,4362.852919226197,2536.2372465153026,-0.0004165810986974519,-9117.540478721503,-867.9963929618652,-2377.3432692625206,2079.5890670964013,-1196.2001239901701,0.00011015791180251509,-4020.204897468686,1675.424526303572,-0.0011001508160257344,-641.2046936673521,-1196.5285790220569,-3.5631040494370774e-5,-2377.343479654016,-796.837646037624,-57.57346131776833,-6569.843374602876,-3174.18133499415,10698.046168453619,-7132.030225792555,-21.326983613197722,-12377.343355228457,796.8371577626787,17132.03002310666,9999.99925693788,6941.97815772596,9331.67038938447,-1474.255746547723,-2332.72858461493,-7132.030076045974,7181.7668640629645,3377.204443748769,-1895.757100441055,11078.528757585513,4571.642627203465,-4072.5879235720254,2041.04389567752,3034.800132899576,-5718.733698562443,2.362864814062059e-5,-2678.7646584822933,488.60320430423195,-2.749725321619949e-5,5411.424198338198,-7037.456720989046,1195.2571712156243,0.0002298408413750346,-398.41909489069985,-709.6890056143524,-3.994226687476185e-6,-3672.258960605389,2422.019627487455,-7730.124526708966,-115.06059709526902,-0.00011810460397836075,-7655.117349269747,-140.8665124381236,6318.637668246329,-3858.7782169920697,2.5267577340709352e-5,-2775.7622323786504,-3566.012771265175,-7969.511762776322,-1247.7306969912495,-925.4183237327334,12810.25273281011,2775.76272713705,-6455.870272910009,-2158.0806567022664,1195.257250704535,-8865.959683123676,2775.762628487598,6913.7211859668805,0.00042802863039479496,5247.129295320245,1319.4913081082937,3.170437657607509e-5,-2377.343634687998,5085.332443993742,4654.195389777972,-5159.691822764159,-7146.864363829632,-4440.987256612958,776.1143788197013,-92.285749916989,-4408.646107489151,5100.474528007007,-5479.110315120499,14940.176614156719,-12263.584149900682,10398.418832946618,2858.334297606584,-1313.5467087447973,-8399.887965952,288.62446604367256,7132.030536746411,-1481.7229950397254,14754.68694831488,10107.554007177388,-10545.254839337824,-1247.1021187952829,2374.0157304937115,9061.770634376451,18165.944482749866,9236.216663130479,8654.232871952303,-5614.9580804557945,-12377.34364267772,1.074226618099268,13859.06752802594,3926.85660687997,-0.00010508081693621047,-4153.463101598826,3211.6745311131062,9708.38348189385,-20312.79811550764,6132.946421434692,301.5645253109991,4800.41446380888,-958.6829513795557,1422.0247275785277,-62.907875485775946,-3002.5816336856433,-0.0019960278796862354,5.5034284512240057e-5,-1587.0897885959673,3786.2183670743375,-3.801561726516366e-5,-673.2672577677346,7.037437457009812e-5,1999.9999937628613,10596.08375953228,-209.10317821041545,-62.16705968000846,-3.1605486140060776e-5,-0.00013473786453339594,4.2317020348026705e-6,1.321456291385513e-5,6818.749196564695,3.029146499939988e-5,0.00016940787010011525,8.76355807995982e-6,7716.074929391044,-0.00040020662966294874,-1936.4753356055696,85764.883491485
t6,2224.109960841757,4199.85770998216,-0.000349561246760225,-9117.540521976338,-0.00017104714767946232,-2377.3431576376706,1133.1634475992855,-0.00444631147163184,9.269369678438494e-5,-4020.204810063282,1391.2223269068647,-9.742649660050194e-5,-7.621741790727296e-5,-174.63257401990134,5.536688963953644,-2377.3435113435107,-796.83796061652,-467.4347925118025,-6742.123149122014,-3174.180756596108,10698.046101503445,-6361.747737023708,-0.00012066226720300819,-12377.343263081073,245.5242279525382,17132.030105571233,9999.99930382754,7066.838057319584,9151.590522519304,-1869.814136657878,-667.9415484471444,-7132.030032884487,5215.523114571375,4362.853259075965,-1384.439477812372,10314.906897518184,5337.412184271144,-4423.138859985187,2050.142255232858,3034.800067812487,-5718.7336228332515,2.436328069270831e-5,-1858.104710041438,453.1471689689006,-2.6874386667953604e-5,5167.135960813713,-7035.758914262396,1195.2571711693338,0.00019851384878620274,-398.4190884558515,-767.3976153698666,-3.826179364348742e-6,-3669.262051714471,2062.4599514560014,-7730.124520784965,-621.1072681012456,-0.00011888774034519752,-7655.117346472103,-6.384410401773534e-5,6231.207944274748,-3800.0347288279754,1.433031215482236e-5,-2775.762340696646,-3566.0130438313427,-4784.77838091802,-1247.7307004334905,-757.1653844446145,9325.04424386165,2775.7627307033276,-4072.689781654285,-337.4138444798824,1195.257254190838,-9153.894013676185,2775.762579930262,6913.721175740074,0.0003188973957190791,5247.129299606723,1085.7137046984626,937.4813381401749,-2377.343638895849,4004.850996629262,2313.6379056542355,-5159.6918263964235,-4938.131965521443,-4440.987260140653,1465.5477667837667,-296.8510873508189,-4055.468470229196,5590.80814998829,-5479.110328785961,14940.176617698462,-12285.519020814902,10398.41876896568,3056.3945839010075,-220.37063025687763,-8399.887933974904,-2.884624934969686e-6,6235.653079949784,-1481.723097753948,14754.686841874984,10107.553926738992,-10491.872960574974,-1061.9697929930705,2356.95358515891,9071.967591893765,18165.944482663075,9236.216662980369,5478.561882521915,-2735.466672352258,-12377.343643584112,0.00014063609753027517,13859.067529048029,2026.6834342659913,2.8502340206899625e-5,-1048.3347737711322,122.88973778317074,7131.244135475939,-17728.403688146915,5467.4529324472605,0.00017230363905972355,1277.7672471806454,-4.464750851137349e-5,648.6618852928409,213.19972107442467,-2863.551593165145,-0.0004460750490587701,-587.5178954002273,-1587.090703871317,-3.887582122957304e-5,-3624.6876030625813,-680.3260946610093,9.000879783441833e-5,1999.9999882054155,9404.979211667218,-194.3178146870365,-61.133398662809554,-2.9489717404452276e-5,-0.00013880073141104744,6.01406871855293e-6,1.3575320838251443e-5,6818.749201581434,2.8127833441728203e-5,0.0001735472980124895,8.766856853774012e-6,6649.322668856187,-0.0002719482779141941,-1709.9914114009039,76425.32520097404
t7,1876.2328896925005,3961.5305175162343,-0.00041989205770935823,-9117.54054057652,9.890154607611225e-5,-2377.3432504903963,3470.841518653187,-2541.3532722379828,0.00010250859533042943,-4020.204528545623,1523.2530516577979,-9.714785711563327e-5,-0.00010192118547669657,-1766.1519948117123,668.1259141691619,-2377.3434756073902,-796.8379678760729,-834.2622804292035,-6793.256731537035,-3174.180765681103,10698.045429890752,-6416.848236984613,-5.752422168012753e-5,-12377.342221186193,4.317134906454056,17132.030128796327,9999.999316156087,7991.932554801546,9264.078467273073,-812.3301024649933,-1234.0537373079837,-7132.03013565626,5385.908949827276,4362.853280828156,-3531.7531434891803,11078.534188802743,4548.887744227205,-2395.7678400341124,1337.0552782253988,3034.7998912487465,-5718.733814292126,2.048718807445307e-5,-1231.6964263489474,233.0626747603673,-2.4020415170509923e-5,4640.237984612187,-6951.606014476082,1195.2571841542565,0.00016438069668137605,-261.6134650912848,-75.88029513080275,-2.931609429929989e-6,-4005.5048388469563,1994.9241873106416,-7730.1242878064695,-944.1701549016412,-0.0001088367718371278,-7655.117290831462,-4.631673119585541e-5,5603.069807067132,-2406.3001283555714,2.455119591126324e-5,-2775.7623015173895,-3566.0130492605163,-2964.9809992734854,-1247.7306994499963,-925.4184481568432,7896.988499780836,2775.7627299520427,-4519.912699402782,-9.835907771355233e-5,1195.2572533202467,-9584.305488479624,2775.7627398784166,6913.721268335029,0.00040220345523162427,5247.129673998037,718.4244478463046,2145.4792995364214,-2377.343637927395,2806.9092970493607,1177.2899811675788,-5159.691825119184,-2611.3428378371373,-4440.987258967892,2002.9837433151863,-523.1221831781393,-4348.829291652258,5938.99112216023,-5479.1103298894495,14940.176616945004,-11972.179037598626,10398.418865335823,3114.9059377846506,-1635.3611643437798,-8399.888059674558,2.3318673377277477e-5,7132.0281340197525,-1481.7231465161199,14754.68686414678,10107.553946567368,-10951.327896060247,827.9692443677361,2046.9629188753381,9162.454021955038,18165.944486750002,9236.216668049758,5471.021104560205,-4501.811608217588,-12377.34364381413,1022.9822107861085,13859.067529294265,1155.5812900951203,2.600518451490011e-5,-818.8570932538394,3.2641174655726548e-6,7130.994942753081,-18148.446534057533,5565.496210035751,0.00017473966411416477,1346.3432321344399,-4.384425777101221e-5,104.61330874199342,414.4133639231707,-2829.40226609099,-0.000366574512561612,-848.2728096881094,-1587.0906863317343,-0.00010074359474526784,-3243.0535113103288,-680.3276572646234,8.860108957428015e-5,1999.9997304207382,9776.633128540796,-465.60451960371074,-75.77863193582877,-3.232705857847227e-5,-0.00013795222507993144,3.9983931792034205e-6,1.3143082989170463e-5,6818.749200830184,2.612898727200931e-5,0.00017268347741393605,9.016516369068953e-6,6974.203285335176,-7.315323211788693e-5,-1160.4939515722965,76746.23382710839
t8,1158.1073673877884,4547.7648624689,-0.000373827241895372,-9117.540590422575,214.97027444267422,-2089.478906146734,3470.8490805689253,-678.077690099553,-1368.1857333943997,-4020.204383041999,3.999624307833775e-5,-9.465648506796847e-5,-8.46309828595995e-5,-2135.2236295910034,1169.4795881964142,-2377.3436132458555,-796.8379892318555,-1025.3390770109595,-6793.256658413404,-3174.1807820091767,10698.046398009246,-6526.507312919837,-7.374643343096908e-5,-12377.341549325114,3.2630991306201104e-5,17132.030134079774,9999.999320097744,7041.635439122279,9001.63617588764,-0.0004747360995486182,-1910.0917923999093,-7132.030922979215,5805.376974170713,4362.853322843374,-2434.5935366600324,11078.539079289887,4941.711705705042,-2916.094754145648,729.4673935674401,3034.787613092581,-5718.734807691659,404.9013285593214,-3.978806525574438e-6,22.671800672079694,2.8041833728676904e-6,4081.7224275225676,-6894.817964592685,1195.2571849344272,0.00015763451216376182,-102.7859038175606,-6.127339672485895e-5,5.821751285750681e-6,-4082.918926017851,1075.1773802973162,-7730.124267663492,-1884.0296307754004,-110.69677222078577,-7655.11728966221,-4.695357511944348e-5,5635.744630750108,-2490.963898600932,2.5654466059829783e-5,-2775.7623051303376,-3566.0130912462705,-2195.3038225656383,-1247.7306901174104,-925.4184474301371,7060.0045535741965,2775.762716957758,-3981.6669532565484,-394.0921418717087,1195.2572394514252,-9721.593261843815,2775.7627400813935,6913.721268284543,0.0004112061529979383,5247.129674296923,709.9933171687733,2425.7206562418164,-2377.343621583119,2569.6738630132104,375.4067898847034,-5159.6918141791675,-1965.3221693866687,-4440.987248582915,2057.2443135018484,-726.9895259762133,-4415.993150215744,5938.991122198369,-5479.1103284700575,14940.176604288106,-11833.905053376051,10398.41887600393,3018.5740047259524,-2116.6437235116646,-8399.88808765543,25.985034863277935,7132.03063061271,-1481.7232585571444,14754.686996226304,10107.554052167525,-11370.61395567992,795.7588736676424,1742.3159212965686,9278.93790150121,18165.94495005787,9236.217174308762,2727.7623866424537,-3501.465358043469,-12377.343634262901,1952.57407634256,13859.067519842503,369.9031193156358,5.801178525865347e-5,-0.00011892653734686491,-1373.290044697493,5809.04023719325,-16940.67358972679,5603.832235610817,8.449964108829075,482.5565974316055,-4.650310033867578e-5,3.217841433939447e-5,416.33752596731,-3002.5812977188466,4.374010543449897e-5,-1471.1046766545917,-1587.0907484712056,-384.97026094085726,-5560.418766497324,-680.3276325998164,9.046890506171179e-5,1999.999713542329,9528.264591624082,-625.6294767624984,-79.10444168553565,-3.2515993659305116e-5,-0.00012481081423552353,2.6901334187839286e-5,1.2949702706011312e-5,6818.749189206338,5.879640180742819e-5,0.00015920549758582906,6.0619790045448364e-5,6755.537647328269,-3116.1628504005516,-276.22547341339526,63681.37395766672
t9,1859.4105524608935,3668.113217217952,-0.000383264674527611,-9117.540607015024,164.9065467699951,-1807.2853545482558,3470.849082402225,-627.0228545902539,-1228.3287782380296,-4020.2044325011375,4.769401491428122e-5,-0.00011595303992019168,-3.478459275665634e-5,-1767.6379501621175,500.12363914966517,-2377.3436137685576,-796.8379909777348,-983.5291278740294,-6793.256656473272,-3174.1808038165045,10698.046399130028,-6664.758166984226,-8.329507553144431e-5,-12377.341633821152,3.108283478887545e-5,17132.030151878662,9999.999336612282,7322.86280298384,8599.423258253893,-0.00040837402539385106,-2142.6970901737795,-7132.030924732078,6012.14141016358,4362.853326156003,-1972.666293850545,11078.5390808709,5153.307086232453,-3236.557072727011,1.2293785880336376,3034.788258902186,-5718.734808835654,6.802409075622312e-6,-1969.1849508887135,458.96758949477123,-9.574926751086313e-5,3562.1185497708243,-7659.185709659118,1195.2571801820425,893.909842606114,-51.181915096472004,-5.8194873972240226e-5,4.176791249785292e-6,-2866.2561518816697,3728.0578502912654,-7730.1242775472565,-0.00014443489868650643,-626.6608372767546,-7655.117296275081,8.858671244667873e-6,6498.448090667446,-4116.474004375971,-1204.5888517903193,-1870.581177510192,-2.9679364196632255e-5,-41.550966851043725,-1247.73016842945,-925.4180107506182,913.1522627022568,2433.713366937288,-552.428225453097,-3476.7369581741814,1195.2517360795423,-9836.290001086458,2775.7627408989792,6913.721269196244,-0.0003295243426081054,5247.129674884747,1136.6668188680505,2253.384117156646,-0.00026288073578265383,64.99865489712283,1.1922700218978614e-5,-5159.6916237928535,-9.199554058944165e-5,-1466.2080099920852,335.4966128323231,-1454.6615002661285,-1476.91584394434,5938.991122900438,-5479.110304546016,14940.176283617924,-12092.667944198229,10398.418835149037,2992.674057492905,-0.0002157032448710878,-8399.888013149932,-3.1311791667901575e-5,4308.381464498908,-1168.0606170665114,14754.68664763913,9903.140335639288,-10468.277109513432,692.8537583564489,1435.0468865036319,9378.952413631963,18165.944951130965,9236.217175423293,-2265.0064433417597,-0.0004501403473812529,-12377.343605229475,1246.6575110240276,13859.067492106558,57.13943245664884,374.01632067951965,2.9253752140643566e-5,-1895.4007700612187,0.00030110382804509147,-8417.477999403578,1726.420755663868,1647.5526270463292,-2.7489269110611867e-5,-2.4960009617242385e-5,-2.6723339179525478e-5,-519.7432545566036,-816.3290984346654,-1587.0704575332559,1.2795737106626152e-5,-9.384625567789481e-6,0.0007165187958844852,-6432.197116222213,-651.8523176864916,-641.4824730831288,1999.999715980299,6208.991886479707,-373.5143771993339,-73.3078750536036,-3.316978398179602e-5,-2.3413359535937973e-5,2.7433056641186028e-5,1.3984809423525401e-5,6818.748989447621,5.973635571852826e-5,3.222383402600634e-5,6.158918131724042e-5,4343.337982842098,-3116.162846160828,770.9665734062834,63763.20832453428
